col0,col1,col2,col3,col4
Virtu Pro-Veloconcept 2016,Virtu Cycling 2017,2016-12-31,Jan Bojsen,2016-01-01
Sharjah 2016,Sharjah 2018,2016-12-31,Mustapha Faci,2016-01-01
Bliz-Merida 2016,Cyclesport.se-Memil 2017,2016-12-31,Mats Harring,2016-01-01
Tre Berg-Bianchi 2016,Tre Berg-PostNord 2017,2016-12-31,Mats Höllgren,2016-01-01
RTS-Monton Racing 2016,RTS-Monton Racing 2017,2016-12-31,Hamid Khamseh,2016-01-01
Pishgaman Giant 2016,Pishgaman Cycling Team 2017,2016-12-31,Mohsen Solgi,2016-01-01
Parkhotel Valkenburg 2016,Monkey Town Continental 2017,2016-12-31,Jo Berghmans,2016-01-01
Hrinkow Advarics Cycleang 2016,Hrinkow Advarics Cycleang 2017,2016-12-31,Ulrich Öhlböck,2016-01-01
Kuota-Lotto 2016,Lotto-Kern-Haus 2017,2016-12-31,Detlef Kurzweg,2016-01-01
Coop-Øster Hus 2016,Coop 2017,2016-12-31,Gilbert De Weerdt,2016-01-01
Sparebanken Sør 2016,Sparebanken Sør 2017,2016-12-31,Sebastian Kvålsvoll,2016-01-01
2016 HKSI Pro Cycling Team,2017 HKSI Pro Cycling Team,2016-12-31,Li Guodong,2016-01-01
Wisdom-Hengxiang 2016,2017 Hengxiang Cycling Team,2016-12-31,Hao Shi,2016-01-01
Terengganu 2016,Terengganu 2017,2016-12-31,Zhen Yu Feng,2016-01-01
