col0,col1,col2,col3
NPTC Group of Colleges Afan Library,NPTC Group,NPTC Group,Port Talbot
Pembrokeshire College Haverfordwest Library,Pembrokeshire College,Pembrokeshire College,Haverfordwest
Gower College Llwyn Y Bryn Library,Gower College Swansea,Gower College Swansea,Swansea
Gower College Gorseinon Library,Gower College Swansea,Gower College Swansea,Swansea
Gower College Tycoch Library,Gower College Swansea,Gower College Swansea,Swansea
NPTC Group of Colleges Brecon Library,NPTC Group,NPTC Group,Brecon
Pibwrlwyd Library,Coleg Sir Gâr,Coleg Sir Gâr,Carmarthen
"Barry Library, Cardiff & Vale College",Cardiff and Vale College,Cardiff and Vale College,Barry
Merthyr College Library,Merthyr Tydfil College,Merthyr Tydfil College,Merthyr Tydfil
NPTC Group of Colleges Newtown Library,NPTC Group,NPTC Group,Newtown
St David's Learner Support Centre,St David's Catholic College,St David's Catholic College,Cardiff
"City Centre Library, Cardiff & Vale College",Cardiff and Vale College,Cardiff and Vale College,Cardiff
Coleg Meirion Dwyfor Glynllifon Library,Coleg Meirion-Dwyfor,Grwp Llandrillo Menai,Stable Courtyard At Glynllifon
Deeside Sixth Library,Deeside College,Coleg Cambria,Connah's Quay
