col0,col1,col2,col3,col4,col5
Autonomy Liberty Participation Ecology,Aosta,2010-01-01,Green party,social democracy,European Free Alliance
Party of Greens of Ukraine,Kyiv,1990-09-30,Green party,green politics,European Green Party
Movement of Ecologists — Citizens' Cooperation,Nicosia,1996-01-01,Green party,green politics,European Green Party
Youth Party – European Greens,Ljubljana,2000-01-01,Green party,green politics,European Green Party
Earth Party,Lisbon,1993-08-12,Green party,green conservatism,European People's Party
Green Party,Oslo,1988-10-29,Green party,green politics,European Green Party
Greens of Serbia,Belgrade,2007-09-14,Green party,green politics,European Green Party
Ecologist Greens,Athens,2002-12-08,Green party,subsidiarity,European Green Party
Latvian Green Party,Riga,1990-01-13,Green party,green conservatism,European Green Party
Left-Green Movement,Reykjavík,1999-02-06,Green party,feminism,Nordic Green Left Alliance
"Ecologist Party ""The Greens""",Lisbon,1982-01-01,Green party,green politics,European Green Party
Civil Will-Green Party,Ulaanbaatar,2012-03-12,Green party,green liberalism,Liberal International
Green Party of the United States,"Washington, D.C.",1991-01-01,Green party,eco-socialism,Global Greens
Green Party,Dublin,1981-01-01,Green party,green politics,European Green Party
