col0,col1,col2
Basel-Landschaft,Canton of Solothurn,1501-01-01
Glarus,Graubünden,1352-01-01
Canton of Lucerne,canton of Bern,1332-01-01
Aargau,canton of Bern,1803-01-01
Canton of Solothurn,canton of Bern,1481-01-01
canton of Valais,canton of Bern,1815-01-01
Uri,canton of Valais,1291-01-01
canton of Bern,canton of Valais,1353-01-01
Canton of Jura,Canton of Neuchâtel,1979-01-01
Canton of Fribourg,Canton of Neuchâtel,1481-01-01
Canton of Schaffhausen,Thurgau,1501-01-01
Thurgau,Canton of Schaffhausen,1803-01-01
Canton of Vaud,Canton of Fribourg,1803-01-01
