col0,col1,col2,col3,col4
Wells Fargo,United States of America,Timothy J. Sloan,Three Wells Fargo Center,Finance
UBS,Switzerland,Sergio Ermotti,ODS Tower,Finance
The Royal Bank of Scotland,United Kingdom,Ross McEwan,Elephant Tea Rooms,Finance
Citibank,United States of America,Michael Corbat,Citibank (China),Finance
ABN AMRO,Netherlands,Gerrit Zalm,Brisbane Square,Finance
The Royal Bank of Scotland,United Kingdom,Ross McEwan,Coutts,Finance
HypoVereinsbank,Germany,Theodor Weimer,"Anne-Marie-Louise Thélusson, Countess of Sorcy (David)",Finance
Wells Fargo,United States of America,Timothy J. Sloan,Duke Energy Center,Finance
Citibank,United States of America,Michael Corbat,Citibank Berhad,Finance
Wells Fargo,United States of America,Timothy J. Sloan,Wachovia,Finance
ABN AMRO,Netherlands,Gerrit Zalm,European Multilateral Clearing Facility N.V.,Finance
HypoVereinsbank,Germany,Theodor Weimer,Hypo-Haus,Finance
UBS,Switzerland,Sergio Ermotti,Polybahn,Finance
Wells Fargo,United States of America,Timothy J. Sloan,Wells Fargo Plaza,Finance
