col0,col1,col2,col3,col4,col5,col6
Hospital Santa Cristina,Universidad Europea de Madrid,Universidad Europea de Madrid,Servicio Madrileño de Salud,monument,Spain,1924-01-01
Marqués de Valdecilla University Hospital,University of Cantabria,University of Cantabria,Servicio Cántabro de Salud,university hospital,Spain,1929-01-01
Hospital Clínico San Carlos,Complutense University of Madrid,Complutense University of Madrid,Servicio Madrileño de Salud,university hospital,Spain,1951-01-20
Hospital Universitario de Guadalajara,University of Alcalá,University of Alcalá,Servicio de Salud de Castilla La Mancha,university hospital,Spain,1982-01-25
Hospital Universitario Río Hortega,University of Valladolid,University of Valladolid,Sanidad de Castilla y León,university hospital,Spain,1953-07-24
Hospital Ramón y Cajal,University of Alcalá,University of Alcalá,Servicio Madrileño de Salud,university hospital,Spain,1977-01-01
Hospital Universitario Príncipe de Asturias,University of Alcalá,University of Alcalá,Servicio Madrileño de Salud,university hospital,Spain,1987-11-30
Hospital Universitario Miguel Servet,University of Zaragoza,University of Zaragoza,Servicio Aragonés de Salud,university hospital,Spain,1955-01-01
Hospital Universitario La Paz,Autonomous University of Madrid,Autonomous University of Madrid,Servicio Madrileño de Salud,university hospital,Spain,1964-01-01
Hospital Santa Cristina,Universidad Europea de Madrid,Universidad Europea de Madrid,Servicio Madrileño de Salud,university hospital,Spain,1924-01-01
Hospital Reina Sofía,University of Córdoba,University of Córdoba,Andalusian Health Service,university hospital,Spain,1976-01-01
Hospital Santa Cristina,Universidad Europea de Madrid,Servicio Madrileño de Salud,Servicio Madrileño de Salud,monument,Spain,1924-01-01
Marqués de Valdecilla University Hospital,University of Cantabria,Servicio Cántabro de Salud,Servicio Cántabro de Salud,university hospital,Spain,1929-01-01
Hospital Clínico San Carlos,Complutense University of Madrid,Servicio Madrileño de Salud,Servicio Madrileño de Salud,university hospital,Spain,1951-01-20
