col0,col1,col2,col3
Vsesoyuznoe obshchestvo urolohov,urology,Soviet Union,1946-01-01
Soviet Sociological Association,sociology,Soviet Union,1958-06-13
FOGSI,gynaecologist,India,1950-01-06
Comité français d'organisation et de normalisation bancaires,banking,France,1930-01-01
Association des archivistes français,archival science,France,1904-01-01
École Freudienne de Paris,psychoanalysis,France,1964-01-01
Ghana Biomedical Convention,medicine,Ghana,2007-01-01
Association of Austrian Librarians,library,Austria,1945-01-01
Movimento di Cooperazione Educativa,education,Italy,1951-11-04
Belgian Film Critics Association,film criticism,Belgium,1950-01-01
American Welding Society,welding,United States of America,1919-03-28
Ontario Classical Association,classics,Canada,1944-01-01
College of Nurses Aotearoa New Zealand,nursing,New Zealand,1982-01-01
"Portuguese Association of Librarians, Archivists and Docomentalists",librarian,Portugal,1973-11-01
Association of Greek librarians and information scientists,library science,Greece,1968-01-01
Society for Pennsylvania Archaeology,archaeology,United States of America,1929-01-01
Australian Society of Archivists,archival science,Australia,1975-01-01
Pharmaceutical Society of Ghana,pharmacology,Ghana,1935-12-19
Greek Archives Society,archival science,Greece,1990-01-01
Danish Film Academy,cinema of Denmark,Denmark,1982-01-01
