col0,col1,col2,col3,col4,col5
Derry City F.C.,Declan Devine,Irish Cup,Brandywell Stadium,white,1928-01-01
AC Omonia,Henning Berg,1975–76 Cypriot First Division,GSP Stadium,white,1948-06-04
Nea Salamis Famagusta FC,Savvas Poursaitidis,1989–90 Cypriot Cup,Ammochostos Stadium,white,1948-03-07
AC Omonia,Henning Berg,1981–82 Cypriot Cup,GSP Stadium,white,1948-06-04
FC Winterthur,Umberto Romano,1916–17 Swiss Serie A,Stadion Schützenwiese,white,1896-05-10
Anorthosis Famagusta FC,Temur Ketsbaia,2002-03 Cypriot Cup,Antonis Papadopoulos Stadium,white,1911-01-30
Olympique de Marseille,André Villas-Boas,1992–93 UEFA Champions League,Stade Vélodrome,white,1899-08-31
Associazione Calcio Milan,Stefano Pioli,1993–94 UEFA Champions League,San Siro Stadium,white,1899-12-16
Manchester United F.C.,Ole Gunnar Solskjær,2007–08 UEFA Champions League,Old Trafford,white,1875-01-01
Juventus F.C.,Maurizio Sarri,1983–84 European Cup Winners' Cup,Juventus Stadium,white,1897-11-01
FC Barcelona,Quique Setién,2008–09 UEFA Champions League,Camp Nou,red,1899-11-29
Associazione Calcio Milan,Stefano Pioli,1993–94 UEFA Champions League,San Siro Stadium,red,1899-12-16
Manchester United F.C.,Ole Gunnar Solskjær,2007–08 UEFA Champions League,Old Trafford,red,1875-01-01
AEK Larnaca F.C.,Andoni Iraola,2003-04 Cypriot Cup,AEK Arena - Georgios Karapatakis,green,1994-07-18
Anagennisi Deryneia FC,Yiorgos Kosma,1998–99 Cypriot Second Division,Anagennisi Football Ground,green,1920-12-01
