col0,col1,col2,col3,col4,col5,col6
LSWR Lion-class no. 293,1873-10-01,0-6-0,1888-06-01,Nine Elms Locomotive Works,London and South Western Railway,2
LSWR Lion-class no. 292,1873-09-01,0-6-0,1886-07-01,Nine Elms Locomotive Works,London and South Western Railway,2
LSWR Lion-class no. 291,1873-09-01,0-6-0,1887-12-01,Nine Elms Locomotive Works,London and South Western Railway,2
LSWR Lion-class no. 272,1872-06-01,0-6-0,1891-12-01,Nine Elms Locomotive Works,London and South Western Railway,2
LSWR Lion-class no. 271,1872-06-01,0-6-0,1897-04-01,Nine Elms Locomotive Works,London and South Western Railway,2
LSWR Lion-class no. 16 “Salisbury”,1872-08-01,0-6-0,1899-04-01,Nine Elms Locomotive Works,London and South Western Railway,2
LSWR Lion-class no. 24 “Elk”,1871-12-01,0-6-0,1889-12-01,Nine Elms Locomotive Works,London and South Western Railway,2
LSWR Lion-class no. 23 “Antelope”,1871-11-01,0-6-0,1898-06-01,Nine Elms Locomotive Works,London and South Western Railway,2
LSWR Lion-class no. 38 “Vizier”,1871-06-01,0-6-0,1899-07-01,Nine Elms Locomotive Works,London and South Western Railway,2
LSWR Lion-class no. 22 “Giraffe”,1871-07-01,0-6-0,1891-12-01,Nine Elms Locomotive Works,London and South Western Railway,2
LSWR Lion-class no. 13 “Orion”,1871-07-01,0-6-0,1899-07-01,Nine Elms Locomotive Works,London and South Western Railway,2
LSWR Lion-class no. 12 “Jupiter”,1871-02-01,0-6-0,1898-06-01,Nine Elms Locomotive Works,London and South Western Railway,2
LSWR Lion-class no. 10 “Aurora”,1897-01-01,0-6-0,1897-04-01,Nine Elms Locomotive Works,London and South Western Railway,2
LSWR Lion-class no. 9 “Chaplin”,1870-12-01,0-6-0,1893-03-01,Nine Elms Locomotive Works,London and South Western Railway,2
LSWR Lion-class no. 8 “Vesta”,1870-07-01,0-6-0,1898-03-01,Nine Elms Locomotive Works,London and South Western Railway,2
LSWR Lion-class no. 7 “Venus”,1870-07-01,0-6-0,1893-02-01,Nine Elms Locomotive Works,London and South Western Railway,2
LSWR Lion-class no. 3 “Transit”,1870-06-01,0-6-0,1897-04-01,Nine Elms Locomotive Works,London and South Western Railway,2
LSWR Lion-class no. 176 “Dragon”,1870-01-01,0-6-0,1891-03-01,Nine Elms Locomotive Works,London and South Western Railway,2
LSWR Lion-class no. 120 “Hecla”,1870-01-01,0-6-0,1899-03-01,Nine Elms Locomotive Works,London and South Western Railway,2
LSWR Lion-class no. 65 “Achilles”,1870-01-01,0-6-0,1897-04-01,Nine Elms Locomotive Works,London and South Western Railway,2
