col0,col1,col2,col3,col4,col5
Expedition 9,expedition to the International Space Station,2004-10-23,2004-04-21,Michael Fincke,Soyuz TMA-4
Expedition 8,expedition to the International Space Station,2004-04-29,2003-10-20,Aleksandr Kaleri,Soyuz TMA-3
Expedition 7,expedition to the International Space Station,2003-10-27,2003-04-28,Yuri Malenchenko,Soyuz TMA-2
Expedition 6,expedition to the International Space Station,2003-05-03,2002-11-25,Donald Pettit,STS-113
Expedition 5,expedition to the International Space Station,2002-12-02,2002-06-07,Peggy Whitson,STS-111
Expedition 4,expedition to the International Space Station,2002-06-15,2001-12-07,Carl E. Walz,STS-108
Expedition 3,expedition to the International Space Station,2001-12-15,2001-08-12,Mikhail Tyurin,STS-105
Expedition 2,expedition to the International Space Station,2001-08-20,2001-03-10,Susan J. Helms,STS-102
Expedition 1,expedition to the International Space Station,2001-03-19,2000-11-02,Sergei Krikalev,STS-102
Expedition 61,expedition to the International Space Station,2020-02-20,2019-10-03,Aleksandr Aleksandrovich Skvortsov,Soyuz MS-13
Expedition 55,expedition to the International Space Station,2018-06-03,2018-02-27,Richard R. Arnold,Soyuz MS-07
Expedition 54,expedition to the International Space Station,2018-02-27,2017-12-14,Joseph M. Acaba,Soyuz MS-06
Expedition 53,expedition to the International Space Station,2017-12-14,2017-09-02,Paolo Nespoli,Soyuz MS-05
