col0,col1,col2,col3
The Marvelettes,The Marvelettes discography,Gladys Horton,1960-01-01
The Cookies,The Cookies discography,Margie Hendrix,1954-01-01
SWV,SWV discography,Coko,1990-01-01
The Cheetah Girls,The Cheetah Girls discography,Sabrina Bryan,2004-01-01
FOREVER,Forever discography,Jasmine Villegass,2008-01-01
Little Mix,Little Mix discography,Perrie Edwards,2011-01-01
Bandana,Bandana discography,Valeria Gastaldi,2001-01-01
Serebro,Serebro discography,Elena Temnikova,2006-01-01
Sistar,Sistar discography,Hyolyn,2010-01-01
Kara,Kara discography,Nicole Jung,2007-03-29
Orange Caramel,Orange Caramel discography,Park Soo-ah,2010-06-16
