col0,col1,col2,col3,col4,col5
Giolitti I Cabinet,Giovanni Giolitti,Crispi III Cabinet,1892-05-15,di Rudinì I Cabinet,Kingdom of Italy
Luzzatti Cabinet,Luigi Luzzatti,Giolitti IV Cabinet,1910-03-31,Sonnino II Cabinet,Kingdom of Italy
Rattazzi II Cabinet,Urbano Rattazzi,Menabrea I Cabinet,1867-04-10,Ricasoli II Cabinet,Kingdom of Italy
Rattazzi I Cabinet,Urbano Rattazzi,Farini Cabinet,1862-03-03,Ricasoli I Cabinet,Kingdom of Italy
Menabrea I Cabinet,Luigi Federico Menabrea,Menabrea II Cabinet,1867-10-27,Rattazzi II Cabinet,Kingdom of Italy
Pelloux II Cabinet,Luigi Pelloux,Saracco Cabinet,1899-05-14,Pelloux I Cabinet,Kingdom of Italy
Giolitti V Cabinet,Giovanni Giolitti,Bonomi I Cabinet,1920-06-15,Nitti II Cabinet,Kingdom of Italy
Menabrea III Cabinet,Luigi Federico Menabrea,Lanza Cabinet,1869-05-13,Menabrea II Cabinet,Kingdom of Italy
Giolitti IV Cabinet,Giovanni Giolitti,Salandra I Cabinet,1911-03-30,Luzzatti Cabinet,Kingdom of Italy
Minghetti II Cabinet,Marco Minghetti,Depretis I Cabinet,1873-07-10,Lanza Cabinet,Kingdom of Italy
Bonomi I Cabinet,Ivanoe Bonomi,Facta I Cabinet,1921-07-04,Giolitti V Cabinet,Kingdom of Italy
Tittoni Cabinet,Tommaso Tittoni,Fortis I Cabinet,1905-03-12,Giolitti II Cabinet,Kingdom of Italy
Crispi III Cabinet,Francesco Crispi,di Rudinì II Cabinet,1893-12-15,Giolitti I Cabinet,Kingdom of Italy
Sonnino I Cabinet,Sidney Sonnino,Giolitti III Cabinet,1906-02-08,Fortis II Cabinet,Kingdom of Italy
Minghetti I Cabinet,Marco Minghetti,La Marmora II Cabinet,1863-03-24,Farini Cabinet,Kingdom of Italy
Facta II Cabinet,Luigi Facta,Mussolini Cabinet,1922-08-01,Facta I Cabinet,Kingdom of Italy
Depretis II Cabinet,Agostino Depretis,Cairoli I Cabinet,1877-12-26,Depretis I Cabinet,Kingdom of Italy
di Rudinì II Cabinet,Antonio Starabba di Rudinì,di Rudinì III Cabinet,1896-03-10,Crispi III Cabinet,Kingdom of Italy
Crispi IV Cabinet,Francesco Crispi,di Rudinì II Cabinet,1894-06-14,Crispi III Cabinet,Kingdom of Italy
Depretis III Cabinet,Agostino Depretis,Cairoli II Cabinet,1878-12-19,Cairoli I Cabinet,Kingdom of Italy
