col0,col1,col2
Dance Gavin Dance,United States of America,Rise Records
Other Lives,United States of America,Play It Again Sam
Epidemia,Russia,Moroz Records
The Hurt Process,United Kingdom,Victory Records
Pierrot,Japan,EMI Music Japan
May Blitz,United Kingdom,Vertigo
The Soft Boys,United Kingdom,Matador Records
The Make-Up,United States of America,Dischord Records
Avantgarde,Spain,V2
Divinyls,Australia,Chrysalis Records
Josef K,United Kingdom,Postcard Records
Open Hand,United States of America,Trustkill Records
Failure,United States of America,Warner Bros. Records
Ángeles del Infierno,Spain,Warner Bros. Records
Divididos,Argentina,PolyGram
