col0,col1,col2
La Marmora II Cabinet,La Marmora III Cabinet,1864-09-28
di Rudinì IV Cabinet,di Rudinì V Cabinet,1897-12-14
Crispi II Cabinet,di Rudinì I Cabinet,1889-03-09
Saracco Cabinet,Zanardelli Cabinet,1900-06-24
Giolitti II Cabinet,Tittoni Cabinet,1903-11-03
Giolitti III Cabinet,Sonnino II Cabinet,1906-05-29
Fortis II Cabinet,Sonnino I Cabinet,1905-12-24
Salandra I Cabinet,Salandra II Cabinet,1914-03-21
La Marmora III Cabinet,Ricasoli II Cabinet,1865-12-31
Cavour IV Cabinet,Ricasoli I Cabinet,1861-03-23
Ricasoli II Cabinet,Rattazzi II Cabinet,1866-06-20
Ricasoli I Cabinet,Rattazzi I Cabinet,1861-06-12
