col0,col1,col2,col3,col4,col5,col6
Thomas Fisher Rare Book Library,University of Toronto Libraries,1973-01-01,rare book library,"120 St. George St. Toronto, Ontario, CA, M5S 1A5",Canada,Toronto
Victoria University Archives,Victoria University,1953-01-01,academic archive,"71 Queen's Park Crescent East, Toronto, Ontario, CA, M5S 1K7",Canada,Toronto
Trinity College Archives,Trinity College,1963-01-01,academic archive,"6 Hoskin Avenue Toronto Ontario Canada, M5S 1H8",Canada,Toronto
University of Toronto Archives & Records Management Services,University of Toronto Libraries,1965-01-01,academic archive,"120 St. George St. Toronto, Ontario, CA, M5S 1A5",Canada,Toronto
Clara Thomas Archives and Special Collections,York University Libraries,1970-07-01,academic archive,4700 Keele Street,Canada,Toronto
University of Toronto Scarborough Library,University of Toronto Scarborough,1982-01-01,academic archive,"AC260, 1265 Military Trail, Toronto, Ontario, CA, M1C1A4",Canada,Toronto
Thomas Fisher Rare Book Library,University of Toronto Libraries,1973-01-01,academic archive,"120 St. George St. Toronto, Ontario, CA, M5S 1A5",Canada,Toronto
Chetham's Library,Chetham's School of Music,1653-01-01,academic archive,"Long Millgate, Manchester, M3 1SB",United Kingdom,Manchester
Clara Thomas Archives and Special Collections,York University Libraries,1970-07-01,special collections,4700 Keele Street,Canada,Toronto
Chetham's Library,Chetham's School of Music,1653-01-01,reference library,"Long Millgate, Manchester, M3 1SB",United Kingdom,Manchester
University of Toronto Scarborough Library,University of Toronto Scarborough,1982-01-01,academic library,"AC260, 1265 Military Trail, Toronto, Ontario, CA, M1C1A4",Canada,Toronto
Thomas Fisher Rare Book Library,University of Toronto Libraries,1973-01-01,academic library,"120 St. George St. Toronto, Ontario, CA, M5S 1A5",Canada,Toronto
