col0,col1,col2,col3,col4
2NE1,YG Entertainment,2009-01-01,2NE1 discography,2009-01-01
Miss A,JYP Entertainment,2010-01-01,Miss A discography,2010-01-01
S.H.E,Avex Taiwan,2001-01-01,S.H.E discography,2001-01-01
T-ara,MBK Entertainment,2009-01-01,T-ara discography,2009-01-01
All Saints,ZTT Records,1993-01-01,All Saints discography,1993-01-01
Girls Aloud,Polydor Records,2002-01-01,Girls Aloud discography,2002-01-01
Perfume,Tokuma Japan Communications,2000-01-01,Perfume discography,2000-01-01
Spice Girls,EMI,1994-01-01,Spice Girls discography,1994-01-01
The Grace,SM Entertainment,2005-01-01,The Grace discography,2005-01-01
Sistar,Starshit Entertainment,2010-01-01,Sistar discography,2010-01-01
Secret,TS Entertainment,2009-01-01,Secret discography,2009-01-01
f(x),SM Entertainment,2009-01-01,f(x) discography,2009-01-01
Girls' Generation,SM Entertainment,2007-08-02,Girls' Generation discography,2007-01-01
AKB48,Defstar Records,2005-12-08,AKB48 discography,2005-01-01
The Marvelettes,Motown,1960-01-01,The Marvelettes discography,1960-01-01
The Cookies,Atlantic Records,1954-01-01,The Cookies discography,1953-01-01
Whiteberry,Sony Music Entertainment Japan,1994-01-01,Whiteberry discography,1994-01-01
FOREVER,Island Records,2008-01-01,Forever discography,2008-01-01
Fifth Harmony,Epic,2013-01-01,Fifth Harmony discography,2012-01-01
ZOEgirl,Sparrow Records,1999-01-01,ZOEgirl discography,1999-01-01
