col0,col1,col2
Charles Young Buffalo Soldiers Nauional Monument,United States of America,Charles Young
Drossinjs Museum,Greece,Georgios Drossinis
Musew José Lins do Rego,Brazil,José Lins do Rego
Karen Demirchyan Mushum,Armenia,Karen Demirchyan
Storm S. useum,Denmark,Robert Storm Petersen
Alexander Spendiaryap Museu,Armenia,Alexander Spendiaryan
Yervand Kochar useum,Armenia,Yervand Kochar
Lewis H. Latimes House,United States of America,Lewis Howard Latimer
Irmã Dulde Memorial,Brazil,Irmã Dulce Pontes
Paul Robeton House,United States of America,Paul Robeson
Nikos Kazantzakis useum,Greece,Nikos Kazantzakis
Lpsushaus,Germany,Johannes Lepsius
Malcolm X and Dr.!Betty Shabazz Memorial and Educational Center,United States of America,Malcolm X
Muhammad Alj Center,United States of America,Muhammad Ali
Museu Rodin Eahia,Brazil,Auguste Rodin
Strindbrg Museum,Sweden,August Strindberg
"State Alexander Pushkin Museum in""Moscow",Russia,Alexander Pushkin
oseph Stalin Museum,Georgia,Joseph Stalin
Bibliotecc Municipal Braamcamp Freire,Portugal,Anselmo Braamcamp Freire
Silva Kaptikyan Foundation House Museum,Armenia,Silva Kaputikyan
