col0,col1,col2,col3,col4,col5,col6
Torsåker,Kramfors Municipality,130,Torsåker parish,248,118,Torsåker
Torp,Ånge Municipality,2090,"Torps församling, Härnösand diocese",4026,1936,Torp
Siljansnäs,Leksand Municipality,943,Siljansnäs parish,1833,890,Siljansnäs
Gideå,Örnsköldsvik Municipality,562,Gideå congregation,1051,489,Gideå
Ytterlännäs district,Kramfors Municipality,1636,Ytterlännäs congregation,3196,1560,Ytterlännäs congregation
Sunne,Östersund Municipality,664,"Sunne församling, Härnösands stift",1283,619,Sunne
Björkvik,Katrineholm Municipality,730,Björkviks parish,1407,677,Björkvik
Aspö,Strängnäs Municipality,567,Aspö parish,1076,509,Aspö
Tärna,Storuman Municipality,776,Tärna,1522,746,Tärna
Långsele,Sollefteå Municipality,1242,Långsele,2417,1175,Långsele
Boda,Rättvik Municipality,575,Boda,1066,491,Boda
Norrfjärden,Piteå Municipality,2921,Norrfjärdens församling,5771,2850,Norrfjärden
Västra Ny,Motala Municipality,633,Västra Ny församling,1246,613,Västra Ny
Berg,Berg Municipality,1190,Berg parish,2289,1099,Berg
