col0,col1,col2,col3,col4
IBK Dalen,floorball club,Sweden,1990-01-01,Umeå
SV Wiler-Ersigen,floorball club,Switzerland,1984-01-01,canton of Bern
Gävle Godtemplares IK,floorball club,Sweden,1906-01-01,Gävle
Storvreta IBK,floorball club,Sweden,1989-01-01,Uppsala Municipality
Unihockey Tigers,floorball club,Switzerland,1984-01-01,canton of Bern
Vålerengens IF,floorball club,Norway,1913-01-01,Oslo
Eimsbütteler TV,floorball club,Germany,1889-01-01,Eimsbüttel
Chur Unihockey,floorball club,Switzerland,2004-01-01,Chur
Cēsu Alus \ Lekrings,floorball club,Latvia,1992-01-01,Cēsis
Vålerengens IF,handball team,Norway,1913-01-01,Oslo
Gävle Godtemplares IK,ice hockey team,Sweden,1906-01-01,Gävle
SSV Helsinki,sports club,Finland,1986-01-01,Helsinki
