col0,col1,col2
RavenEye,United Kingdom,Frontiers Records
Last in Line,United States of America,Frontiers Records
The Neckbones,United States of America,Fat Possum Records
AnnenMayKantereit,Germany,Vertigo
Dawn,Sweden,Necropolis Records
16-17,Switzerland,Digital Hardcore Recordings
Wardell,United States of America,Roc Nation
SHVPES,United Kingdom,Spinefarm Records
Järjestyshäiriö,Finland,Spinefarm Records
WAG,Japan,Giza Studio
Vinyl Theatre,United States of America,Fueled by Ramen
With Confidence,Australia,Hopeless Records
Swallow,United States of America,Warner Bros. Records
