col0,col1,col2,col3,col4,col5
Silk Way West Airlines,2012-01-01,cargo airline,Heydar Aliyev International Airport,Azerbaijan,Silk Way Airline
Mistral Air,1981-01-01,cargo airline,Brescia Airport,Italy,Poste italiane
ABX Air,2003-08-15,cargo airline,Miami International Airport,United States of America,Air Transport Services Group
LATAM Cargo Chile,1929-01-01,cargo airline,Miami International Airport,Chile,LATAM Airlines Group
EgyptAir Cargo,2002-01-01,cargo airline,Cairo International Airport,Egypt,EgyptAir
ABSA Cargo Airline,1995-01-01,cargo airline,Viracopos International Airport,Brazil,LATAM Brasil
ASL Airlines Belgium,1999-01-01,cargo airline,Liege Airport,Belgium,Category:ASL Aviation Holdings
Qantas Freight,2001-01-01,cargo airline,Sydney Airport,Australia,Qantas
DHL Air UK,1982-01-01,cargo airline,East Midlands Airport,United Kingdom,DHL
European Air Transport,1971-01-01,cargo airline,Leipzig/Halle Airport,Germany,DHL
European Air Transport Leipzig,2005-01-01,cargo airline,Leipzig/Halle Airport,Germany,DHL
AirBridgeCargo Airlines,2004-01-01,cargo airline,Sheremetyevo International Airport,Russia,Volga-Dnepr Airlines
