col0,col1,col2,col3,col4,col5
"In-depth survey report: evaluation of engineering controls for the production of liquid and powder flavoring chemicals at Kerry Ingredients and Flavours, Inc., formerly Mastertaste, Inc., Commerce, California, report no. EPHB-322-12a",manufacturing,National Institute for Occupational Safety and Health,2008-07-01,Alan S. Echt,"In-depth survey report: evaluation of engineering controls for the production of liquid and powder flavoring chemicals at Kerry Ingredients and Flavours, Inc., formerly Mastertaste, Inc., Commerce, California, report no. EPHB-322-12a"
"In-depth survey report of exposure to silica from demolition of plaster ceilings at Frank Messer and Sons Construction Company, Columbus Ohio",quartz,National Institute for Occupational Safety and Health,2002-01-01,Alan S. Echt,"In-depth survey report of exposure to silica from demolition of plaster ceilings at Frank Messer and Sons Construction Company, Columbus Ohio"
"Control technology and exposure assessment for occupational exposure to beryllium: Michigan Spring and Stamping, Muskegon, Michigan",beryllium,National Institute for Occupational Safety and Health,2004-02-05,Alan S. Echt,"Control technology and exposure assessment for occupational exposure to beryllium: Michigan Spring and Stamping, Muskegon, Michigan"
Tub refinisher died due to methylene chloride overexposure while stripping a bathtub,methylene chloride,National Institute for Occupational Safety and Health,2011-10-26,Michigan State University College of Human Medicine,Tub refinisher died due to methylene chloride overexposure while stripping a bathtub
Quality control operator dies after falling into cherry processing brine tank,sulfur dioxide,National Institute for Occupational Safety and Health,2006-10-01,Michigan State University College of Human Medicine,Quality control operator dies after falling into cherry processing brine tank
Survey report: control technology evaluation for controlling worker exposure to asphalt fumes from roofing kettles: kettle opera,benzene,National Institute for Occupational Safety and Health,2004-03-01,David A. Marlow,"Survey report: control technology evaluation for controlling worker exposure to asphalt fumes from roofing kettles: kettle operated using an afterburner system at Tampa Bay Technical High School, and West Park Village at West Chase, Tampa, Florida, report no. CT-231-17a"
"Health hazard evaluation report: HETA-2005-0329-2995, Swannanoa Valley Youth Development Center, Swannanoa, North Carolina",carbon dioxide,National Institute for Occupational Safety and Health,2006-03-01,Kristin J. Cummings,"Health hazard evaluation report: HETA-2005-0329-2995, Swannanoa Valley Youth Development Center, Swannanoa, North Carolina"
"Survey report: control technology evaluation for controlling worker exposure to asphalt fumes from roofing kettles: kettle operated using an afterburner system at 5900 Broadway, San Antonio, Texas, report no. CT-231-16a",benzene,National Institute for Occupational Safety and Health,2004-03-01,David A. Marlow,"Survey report: control technology evaluation for controlling worker exposure to asphalt fumes from roofing kettles: kettle operated using an afterburner system at 5900 Broadway, San Antonio, Texas, report no. CT-231-16a"
"Assessment of exposure to o-toluidine and other aromatic amines in a rubber chemical manufacturing plant: exposure assessment update documentation report, report no. IWS-73-08",aniline,National Institute for Occupational Safety and Health,2009-02-01,Avima M. Ruder,"Assessment of exposure to o-toluidine and other aromatic amines in a rubber chemical manufacturing plant: exposure assessment update documentation report, report no. IWS-73-08"
"An evaluation of an engineering control to prevent carbon monoxide poisonings of individuals on houseboats at Wahweap Marina, Lake Powell, Arizona, report no. CT-171-25a",carbon monoxide,National Institute for Occupational Safety and Health,2001-03-01,Kevin H. Dunn,"An evaluation of an engineering control to prevent carbon monoxide poisonings of individuals on houseboats at Wahweap Marina, Lake Powell, Arizona, report no. CT-171-25a"
"In-depth survey report: comparison of the performances of three acoustic test fixtures using impulse peak insertion loss measurements, Rudyard, Michigan",manufacturing,National Institute for Occupational Safety and Health,2015-02-01,William J. Murphy,"In-depth survey report: comparison of the performances of three acoustic test fixtures using impulse peak insertion loss measurements, Rudyard, Michigan"
"Walk-through survey report: styrene and noise exposures during fiber reinforced plastic boat manufacturing at Century Boat Company, Inc., Panama City, Florida, report no. CT-306-13a",styrene,National Institute for Occupational Safety and Health,2005-12-01,Rebecca M. Valladares,"Walk-through survey report: styrene and noise exposures during fiber reinforced plastic boat manufacturing at Century Boat Company, Inc., Panama City, Florida, report no. CT-306-13a"
