col0,col1,col2,col3,col4,col5
2019 Russian Figure Skating Championships - pair skating short program,2018-12-20,Ice Palace of the Republic of Mordovia,figure skating rules starting from the 2018-2019 season,Evgenia Tarasova,Figure Skating Federation of Russia
2018-2019 Japan Junior Figure Skating Championships - men's singles short program,2018-11-24,Acción Fukuoka,figure skating rules starting from the 2018-2019 season,Koshiro Shimada,Japan Skating Federation
2018-2019 Japan Junior Figure Skating Championships - ladies' singles short program,2018-11-24,Acción Fukuoka,figure skating rules starting from the 2018-2019 season,Yuhana Yokoi,Japan Skating Federation
2018–19 Japan Figure Skating Championships - men's singles short program,2018-12-22,Namihaya Dome,figure skating rules starting from the 2018-2019 season,Shoma Uno,Japan Skating Federation
2018–19 Japan Figure Skating Championships - ladies' singles short program,2018-12-21,Namihaya Dome,figure skating rules starting from the 2018-2019 season,Satoko Miyahara,Japan Skating Federation
2018–19 Japan Figure Skating Championships - pair skating short program,2018-12-22,Namihaya Dome,figure skating rules starting from the 2018-2019 season,Ryuichi Kihara,Japan Skating Federation
2018 Philadelphia Summer International - ladies' singles short program,2018-08-03,IceWorks Skating Complex,figure skating rules starting from the 2018-2019 season,Akari Nakahara,U.S. Figure Skating
2018 Philadelphia Summer International - men's singles short program,2018-08-04,IceWorks Skating Complex,figure skating rules starting from the 2018-2019 season,Timothy Dolensky,U.S. Figure Skating
2018 Masters de patinage - senior men's singles short program,2018-09-28,André Ravix ice rink,figure skating rules starting from the 2018-2019 season,Kévin Aymoz,French Federation of Ice Sports
2018 Masters de patinage - senior ladies' singles short program,2018-09-27,André Ravix ice rink,figure skating rules starting from the 2018-2019 season,Laurine Lecavelier,French Federation of Ice Sports
2018 Masters de patinage - senior pair skating short program,2018-09-27,André Ravix ice rink,figure skating rules starting from the 2018-2019 season,Vanessa James,French Federation of Ice Sports
2019 German Figure Skating Championships - pair skating short program,2018-12-22,Stuttgart,figure skating rules starting from the 2018-2019 season,Nolan Seegert,Deutsche Eislauf-Union
2019 German Figure Skating Championships - men's singles short program,2018-12-22,Stuttgart,figure skating rules starting from the 2018-2019 season,Paul Fentz,Deutsche Eislauf-Union
2019 German Figure Skating Championships - ladies' singles short program,2018-12-22,Stuttgart,figure skating rules starting from the 2018-2019 season,Nicole Schott,Deutsche Eislauf-Union
2018-2019 Italian Figure Skating Championships - senior ladies' singles short program,2018-12-15,Trento,figure skating rules starting from the 2018-2019 season,Lucrezia Beccari,Italian Ice Sports Federation
