col0,col1,col2,col3
Plekhanov Russian Economic University,institute,European University Association,1907-01-01
Leibniz Institute for Neurobiology,institute,Leibniz Association,1992-01-01
Institut de Génie Informatique et Industriel,engineering school,Lille North of France University,1992-01-01
Institut industriel du Nord,institute of technology,Société industrielle du Nord de la France,1872-01-01
Swiss Institute for Art Research,office building,Memoriav,1951-01-01
Lille Institute for health systems engineering,organization,NSL cluster,1992-01-01
Plekhanov Russian Economic University,higher education institution,European University Association,1907-01-01
Leibniz Institute for Neurobiology,research institute,Leibniz Association,1992-01-01
Plekhanov Russian Economic University,university,European University Association,1907-01-01
Institución de Estudios Complutenses,institution,Confederación Española de Centros de Estudios Locales,1982-04-13
Institute W-6: Technical Logistics,institute,Forschungsgemeinschaft für Logistik e.V.,2016-01-01
Leibniz Institute for Tropospheric Research,facility,Leibniz Association,1992-01-01
