col0,col1,col2,col3,col4,col5,col6,col7
2013 papal conclave,2005 papal conclave,2013-03-13,Vatican City,conclave,Catholicism,Vatican City,2013-01-01
1667 papal conclave,1655 papal conclave,1667-06-20,Italy,conclave,Catholic Church,Vatican City,1667-01-01
1758 papal conclave,1740 papal conclave,1758-07-06,Papal States,conclave,Catholic Church,Vatican City,1758-01-01
1362 papal conclave,1352 papal conclave,1362-11-05,France,conclave,Catholic Church,Vatican City,1362-01-01
1721 papal conclave,1700 papal conclave,1721-05-08,Italy,conclave,Catholic Church,Vatican City,1721-01-01
1484 papal conclave,1471 papal conclave,1484-09-07,Italy,conclave,Catholic Church,Vatican City,1484-01-01
1799–1800 papal conclave,1774–75 papal conclave,1800-03-14,Papal States,conclave,Catholic Church,Vatican City,1800-01-01
1431 papal conclave,Council of Constance,1431-03-12,Italy,conclave,Catholic Church,Vatican City,1431-01-01
1903 papal conclave,1878 papal conclave,1903-08-04,Italy,conclave,Catholic Church,Vatican City,1903-01-01
April 1555 papal conclave,1549–50 papal conclave,1555-04-19,Vatican City,conclave,Catholic Church,Vatican City,1555-01-01
