col0,col1,col2,col3,col4,col5,col6
Ocmulgee Mounds National Historical Park,1936-12-23,National Park System unit,United States of America,Bibb County,place listed on the National Register of Historic Places,National Park Service
Abraham Lincoln Birthplace National Historical Park,1916-07-17,birth house,United States of America,LaRue County,place listed on the National Register of Historic Places,National Park Service
Marsh-Billings-Rockefeller National Historical Park,1992-08-26,National Historical Park,United States of America,Woodstock,place listed on the National Register of Historic Places,National Park Service
Harpers Ferry National Historical Park,1944-06-30,National Historical Park,United States of America,Jefferson County,place listed on the National Register of Historic Places,National Park Service
George Rogers Clark National Historical Park,1966-01-01,National Historical Park,United States of America,Vincennes,place listed on the National Register of Historic Places,National Park Service
Cumberland Gap National Historical Park,1940-06-11,National Historical Park,United States of America,Virginia,place listed on the National Register of Historic Places,National Park Service
Chesapeake and Ohio Canal National Historical Park,1828-07-04,National Historical Park,United States of America,Allegany County,place listed on the National Register of Historic Places,National Park Service
Cedar Creek and Belle Grove National Historical Park,2002-12-19,National Historical Park,United States of America,Frederick County,National Historic Landmark,National Park Service
Appomattox Court House National Historical Park,1940-04-10,National Historical Park,United States of America,Appomattox County,Virginia Historic Landmark,National Park Service
Salt River Bay National Historical Park and Ecological Preserve,1992-01-01,National Historical Park,United States of America,United States Virgin Islands,National Historic Landmark,National Park Service
Pecos National Historical Park,1965-06-28,National Historical Park,United States of America,San Miguel County,National Historic Landmark,National Park Service
