col0,col1,col2,col3,col4
36th (Ulster) Division,British Army,1919-01-01,1914-09-01,United Kingdom of Great Britain and Ireland
131st Infantry Division,German Army,1945-01-01,1940-01-01,Nazi Germany
1st Infantry Division,German Army,1945-01-01,1934-01-01,Nazi Germany
9th Infantry Division,German Army,1945-01-01,1934-01-01,Nazi Germany
7th Infantry Division,German Army,1945-01-01,1934-01-01,Nazi Germany
47th Infantry Division (Wehrmacht),German Army,1945-01-01,1944-01-01,Nazi Germany
337th Infantry Division,German Army,1944-01-01,1940-01-01,Nazi Germany
30th Infantry Division,German Army,1945-01-01,1939-01-01,Nazi Germany
29th Infantry Division,German Army,1945-01-01,1936-01-01,Nazi Germany
6th Infantry Division,German Army,1945-01-01,1934-01-01,Nazi Germany
26th Infantry Division,German Army,1944-01-01,1936-01-01,Nazi Germany
24th Infantry Division,German Army,1945-01-01,1935-01-01,Nazi Germany
132nd Infantry Division,German Army,1945-01-01,1940-01-01,Nazi Germany
10th Infantry Division,German Army,1945-01-01,1934-01-01,Nazi Germany
4th Infantry Division,Wehrmacht,1940-08-15,1934-10-01,Nazi Germany
3rd Infantry Division,Wehrmacht,1945-04-21,1934-10-01,Nazi Germany
2nd Infantry Division,Wehrmacht,1941-01-10,1934-10-01,Germany
18th (Eastern) Division,British Army,1919-03-20,1914-01-01,United Kingdom
27th Division,British Army,1918-09-12,1914-10-01,United Kingdom
70th Infantry Division,British Army,1943-10-25,1941-10-10,United Kingdom
