col0,col1,col2
Tibbutt Brothers,New Zealand,"Clarence Street, Hamilton"
Green & Hahn,New Zealand,Armagh Street
Mundy & La Mert,New Zealand,High Street
Alexander Brothers,United Kingdom,Renfield Street
Chits & Fils,Netherlands,Gedempte Burgwal
Sharland & Company Limited,New Zealand,Lambton Quay
Robson & Boyer,New Zealand,"Courtenay Place, Wellington"
M. Heslop & Co.,New Zealand,Colombo Street
Yeoman & Co,Australia,Bourke Street
James Howie Junior Studio,United Kingdom,Princes Street
William Lawrence Studio,Ireland,O'Connell Street
H. G. Tibbutt & Co.,New Zealand,Queen Street
Taylor & Redfern,New Zealand,Queen Street
Metropolitan Photographic Company,Ireland,Grafton Street
