col0,col1,col2
Central Adelaide Local Health Network,The Queen Elizabeth Hospital,Department for Health and Wellbeing
Northern Adelaide Local Health Network,Lyell McEwin Hospital,Department for Health and Wellbeing
Southern Adelaide Local Health Network,Flinders Medical Centre,Department for Health and Wellbeing
John D. Dingell VA Medical Center,Metropolitan Detroit Research and Education Foundation,"VA Healthcare System Serving Ohio, Indiana and Michigan"
Central Texas Veterans Health Care System,Olin E. Teague Veterans Medical Center,VA Heart of Texas Health Care Network
VA Northern California Health Care System,Sacramento VA Medical Center,VA Sierra Pacific Network
VA St. Louis Health Care System,St. Louis VA Medical Center,VA Heartland Network
Miami VA Healthcare System,Bruce W. Carter VA Medical Center,VA Sunshine Healthcare Network
Bay Pines VA Healthcare System,C.W. Bill Young VA Medical Center,VA Sunshine Healthcare Network
Central Arkansas Veterans Healthcare System,John L. McClellan Memorial Veterans Hospital,South Central VA Health Care Network
Duke Medical Center,Duke University Hospital,Duke University Health System
VA Rocky Mountain Network,Oklahoma City VA Health Care System,Veterans Health Administration
VA Southeast Network,Atlanta VA Health Care System,Veterans Health Administration
VA Eastern Colorado Health Care System,Denver VA Medical Center,VA Rocky Mountain Network
