col0,col1,col2,col3,col4,col5,col6
1981 World Table Tennis Championships,1981-04-14,1983 World Table Tennis Championships,International Table Tennis Federation,1981-04-26,table tennis,Novi Sad
2018 World Team Table Tennis Championships,2018-04-29,2019 World Table Tennis Championships,International Table Tennis Federation,2018-05-06,table tennis,Halmstad
1993 World Table Tennis Championships,1993-05-11,1995 World Table Tennis Championships,International Table Tennis Federation,1993-05-23,table tennis,Gothenburg
1953 World Table Tennis Championships,1953-03-20,1954 World Table Tennis Championships,International Table Tennis Federation,1953-03-29,table tennis,Bucharest
1997 World Table Tennis Championships,1997-04-24,1999 World Table Tennis Championships,International Table Tennis Federation,1997-05-05,table tennis,Manchester
1973 World Table Tennis Championships,1973-04-05,1975 World Table Tennis Championships,International Table Tennis Federation,1973-04-15,table tennis,Sarajevo
1977 World Table Tennis Championships,1977-03-28,1979 World Table Tennis Championships,International Table Tennis Federation,1977-04-07,table tennis,Birmingham
2016 World Team Table Tennis Championships,2016-02-28,2017 World Table Tennis Championships,International Table Tennis Federation,2016-03-06,table tennis,Kuala Lumpur
1929 World Table Tennis Championships,1929-01-14,1930 World Table Tennis Championships,International Table Tennis Federation,1929-01-21,table tennis,Budapest
1967 World Table Tennis Championships,1967-04-11,1969 World Table Tennis Championships,International Table Tennis Federation,1967-04-21,table tennis,Stockholm
2014 World Team Table Tennis Championships,2014-04-28,2015 World Table Tennis Championships,International Table Tennis Federation,2014-05-05,table tennis,Tokyo
1983 World Table Tennis Championships,1983-04-28,1985 World Table Tennis Championships,International Table Tennis Federation,1983-05-09,table tennis,Tokyo
1975 World Table Tennis Championships,1975-02-06,1977 World Table Tennis Championships,International Table Tennis Federation,1975-02-16,table tennis,Kolkata
1963 World Table Tennis Championships,1963-04-05,1965 World Table Tennis Championships,International Table Tennis Federation,1963-04-14,table tennis,Prague
1932 World Table Tennis Championships,1932-01-25,1933 World Table Tennis Championships (January),International Table Tennis Federation,1932-01-30,table tennis,Prague
