col0,col1,col2,col3,col4,col5
Edge Grove School,1935-01-01,Hertfordshire,Aldenham,school (building),United Kingdom
Sonoma Academy,2001-01-01,California,Santa Rosa,private school,United States of America
Winchester House School,1875-01-01,Northamptonshire,Brackley,boarding school,United Kingdom
Ruthin School,1201-01-01,Denbighshire,Ruthin,boarding school,United Kingdom
Edge Grove School,1935-01-01,Hertfordshire,Aldenham,boarding school,United Kingdom
Cargilfield Preparatory School,1873-01-01,City of Edinburgh,Edinburgh,boarding school,United Kingdom
Abbotsholme School,1889-01-01,Rocester,Uttoxeter,boarding school,United Kingdom
South Hampstead High School,1876-01-01,London Borough of Camden,London,secondary school,United Kingdom
Ruthin School,1201-01-01,Denbighshire,Ruthin,secondary school,United Kingdom
Sonoma Academy,2001-01-01,California,Santa Rosa,high school,United States of America
Winchester House School,1875-01-01,Brackley,Brackley,preparatory school,United Kingdom
Edge Grove School,1935-01-01,Aldenham,Aldenham,preparatory school,United Kingdom
Sonoma Academy,2001-01-01,California,California,independent school,United States of America
Winchester House School,1875-01-01,Brackley,Brackley,independent school,United Kingdom
Sancton Wood School,1976-01-01,Cambridge,Cambridge,independent school,United Kingdom
