col0,col1,col2,col3,col4,col5
"HHE report HHE-72-49-45, Empire Detroit Steel Company, New Boston, Ohio",cadmium,National Institute for Occupational Safety and Health,1973-06-01,Bobby J. Gunter,"HHE report HHE-72-49-45, Empire Detroit Steel Company, New Boston, Ohio"
"Health hazard evaluation report: HETA-89-276-L2093, Lockheed Aeronautical Systems Company, Marietta, Georgia",chromium,National Institute for Occupational Safety and Health,1991-01-01,Bobby J. Gunter,"Health hazard evaluation report: HETA-89-276-L2093, Lockheed Aeronautical Systems Company, Marietta, Georgia"
"HHE Report No. HETA-84-384-1580, Crystal Zoo, Boulder, Colorado",lead,National Institute for Occupational Safety and Health,1985-04-01,Bobby J. Gunter,"HHE Report No. HETA-84-384-1580, Crystal Zoo, Boulder, Colorado"
"Health hazard evaluation report: HETA-2000-0385-2813, Equifax Payment Services, St. Petersburg, Florida",thallium,National Institute for Occupational Safety and Health,2000-10-01,Max J. Kiefer,"Health hazard evaluation report: HETA-2000-0385-2813, Equifax Payment Services, St. Petersburg, Florida"
Report of a feasibility study of automated abrasive blasting equipment for use on steel structures,lead,National Institute for Occupational Safety and Health,2000-02-01,Alan S. Echt,Report of a feasibility study of automated abrasive blasting equipment for use on steel structures
"Health hazard evaluation report: HETA 98-0152-2729, Wolfeboro Public Safety Building, Wolfeboro, New Hampshire",carbon,National Institute for Occupational Safety and Health,1999-03-01,Alan S. Echt,"Health hazard evaluation report: HETA 98-0152-2729, Wolfeboro Public Safety Building, Wolfeboro, New Hampshire"
"Technical Assistance Report No. TA-80-099-859, Tobin-Mystic River Bridge, Boston, Massachusetts",lead,National Institute for Occupational Safety and Health,1981-04-15,Philip J. Landrigan,"Technical Assistance Report No. TA-80-099-859, Tobin-Mystic River Bridge, Boston, Massachusetts"
Steel worker dies in industrial waste pit in Pennsylvania,1-naphthaldehyde,National Institute for Occupational Safety and Health,1986-03-18,National Institute for Occupational Safety and Health,Steel worker dies in industrial waste pit in Pennsylvania
"Health hazard evaluation report: HETA-2005-0135-3116, comparison of mold exposures, work-related symptoms, and visual contrast s",lead,National Institute for Occupational Safety and Health,2010-09-01,Charles A. Mueller,"Health hazard evaluation report: HETA-2005-0135-3116, comparison of mold exposures, work-related symptoms, and visual contrast sensitivity between employees at a severely water-damaged school and employees at a school without significant water damage, Alcee Fortier Senior High School, New Orleans."
"Health Hazard Evaluation Report, HETA-98-0212-2788, Claremont Flock Corporation, Claremont, New Hampshire",occupational lung disease,National Institute for Occupational Safety and Health,2000-05-01,William G. Jones,"Health Hazard Evaluation Report, HETA-98-0212-2788, Claremont Flock Corporation, Claremont, New Hampshire"
"Health hazard evaluation report: HETA-2002-0038-2870, 26 Federal Plaza, New York, New York",carbon dioxide,National Institute for Occupational Safety and Health,2002-03-01,Charles A. Mueller,"Health hazard evaluation report: HETA-2002-0038-2870, 26 Federal Plaza, New York, New York"
"Health hazard evaluation report: HETA-2000-0088-2809, Southwest Airlines Dallas Reservations Center, Grand Prairie, Texas Grand Prairie, Texas",carbon dioxide,National Institute for Occupational Safety and Health,2000-09-01,Kenneth F. Martinez,"Health hazard evaluation report: HETA-2000-0088-2809, Southwest Airlines Dallas Reservations Center, Grand Prairie, Texas Grand Prairie, Texas"
"Health hazard evaluation report: HETA-2010-0168-3136, indoor environmental quality evaluation at a health clinic - Indiana",carbon dioxide,National Institute for Occupational Safety and Health,2011-05-01,Gregory A. Burr,"Health hazard evaluation report: HETA-2010-0168-3136, indoor environmental quality evaluation at a health clinic - Indiana"
"HHE determination report no. HHE-79-50-597, Commercial Lovelace Freight Terminal, Dayton, Ohio",aluminum,National Institute for Occupational Safety and Health,1979-06-01,G. Edward Burroughs,"HHE determination report no. HHE-79-50-597, Commercial Lovelace Freight Terminal, Dayton, Ohio"
