col0,col1,col2,col3,col4,col5
Mobility Training to Improve Motor Behavior in Toddlers With or at Risk for Cerebral Palsy: A Pilot Study,12,cerebral palsy,Mobility Training to Improve Motor Behavior in Toddlers With or at Risk for Cerebral Palsy - A Pilot Study,National Institutes of Health,2014-06-06
Administration of Anti-CD19-chimeric-antigen-receptor-transduced T Cells From the Original Transplant Donor to Patients With Recurrent or Persistent B-cell Malignancies After Allogeneic Stem Cell Transplantation,18,lymphoma,Administration of Anti-CD19-Chimeric-Antigen-Receptor-Transduced T-cells From the Original Transplant Donor to Patients With Recurrent or Persistent B-Cell Malignancies After Allogeneic Stem Cell Transplantation,National Institutes of Health,2023-03-01
EPOCH and Rituximab to Treat Non-Hodgkin's Lymphoma in Patients With HIV Infection,18,lymphoma,Short-Course EPOCH-Rituximab in Untreated CD-20+ HIV-Associated Lymphomas,National Institutes of Health,2020-03-31
PLX3397 in Children and Young Adults With Refractory Leukemias and Refractory Solid Tumors Including Neurofibromatosis Type 1 (NF1) Associated Plexiform Neurofibromas (PN),3,leukemia,Phase I/II Trial of PLX3397 in Children and Young Adults With Refractory Leukemias and Refractory Solid Tumors Including Neurofibromatosis Type 1 (NF1) Associated Plexiform Neurofibromas (PN),National Institutes of Health,2020-12-01
Combination Antibody Therapy for Relapsed Lymphoma and Chronic Lymphocytic Leukemia,18,leukemia,Combination Antibody Therapy With Apolizumab (1D10) and Rituximab (CD20) in Relapsed Lymphoma and CLL,National Institutes of Health,2010-01-22
Immunosuppressive Preparation Followed by Blood Cell Transplant for the Treatment of Blood Cancers in Older Adults,55,leukemia,"Low Intensity Preparative Regimen Followed by HLA-Matched, Peripheral Blood Mobilized Hematopoietic Precursor Cell Transplantation for Hematologic Malignancies in Older Adults",National Institutes of Health,2008-07-28
Study of Controlled Human Malaria Infections to Evaluate Protection After Intravenous or Intramuscular Administration of PfSPZ Vaccine in Malaria-Naive Adults,18,malaria,"VRC 314: A Phase 1, Open-Label, Clinical Trial With Experimental Controlled Human Malaria Infections (CHMI) to Evaluate Safety and Durability of Protection Following Intravenous and Intramuscular Administration of PFSPZ Vaccine in Malaria-Naive Adults",National Institutes of Health,2015-05-01
Oral Guanabenz for Multiple Sclerosis,18,multiple sclerosis,Phase I Study of Oral Guanabenz for Multiple Sclerosis,National Institutes of Health,2017-10-30
XIENCE Xpedition Everolimus-Eluting Coronary Stent Japan Post Marketing Surveillance (XIENCE Xpedition SV Japan PMS),20,angina pectoris,XIENCE Xpedition Everolimus-Eluting Coronary Stent Japan Post Marketing Surveillance,Toranomon Hospital,2021-03-01
"Clinical Trial to Determinate Dose, Security and Efficacy or Lenalidomide and Rituximab (LR)-ESHAP in Patients With Diffuse Large B-cell Lymphoma",18,lymphoma,"National, Open-label, Multicentre Phase I-II Study of Combination R-ESHAP With Lenalidomide as Salvage Therapy for Patients With Relapsed or Refractory Diffuse Large B-cell Lymphoma Candidates to Stem-cell Transplantation",Hospital del Mar,2016-09-01
Bone Marrow Transplant Studies for Safe and Effective Treatment of Leukemia,10,leukemia,HLA-Matched Peripheral Blood Mobilized Hematopoietic Precursor Cell Transplantation Followed by T Cell Add-Back for Hematological Malignancies,National Institutes of Health,2008-01-31
Hydroxyurea for the Treatment of Patients With Sickle Cell Anemia,18,anemia,Effect of Hydroxyurea on Fetal Hemoglobin Synthesis in Patients With Sickle Cell Anemia,National Institutes of Health,2003-12-21
