col0,col1,col2,col3,col4
Cristóbal Colón,Giuseppe Garibaldi-class cruiser,Spanish Navy,Hitachi Rail STS,Spanish–American War
USS California,Pennsylvania-class cruiser,United States Navy,Union Iron Works,World War I
HMS Monmouth,Monmouth-class cruiser,Royal Navy,London and Glasgow Shipbuilding Company,World War I
HMS Hogue,Cressy-class cruiser,Royal Navy,Vickers Limited,World War I
Greek cruiser Georgios Averof,Pisa-class cruiser,Hellenic Navy,Cantiere navale fratelli Orlando,World War I
Russian cruiser Bayan,Bayan-class cruiser,Imperial Japanese Navy,Société Nouvelle des Forges et Chantiers de la Méditerranée,World War I
HMS Good Hope,Drake-class cruiser,Royal Navy,Fairfield Shipbuilding and Engineering Company,World War I
HMS Aboukir,Cressy-class cruiser,Royal Navy,Fairfield Shipbuilding and Engineering Company,World War I
HMS Shannon,Minotaur class cruiser,Royal Navy,Chatham Dockyard,World War I
USS Colorado,Pennsylvania-class cruiser,United States Navy,William Cramp and Sons,World War I
USS Pennsylvania,Pennsylvania-class cruiser,United States Navy,William Cramp and Sons,World War I
USS Tennessee,Tennessee-class cruiser,United States Navy,William Cramp and Sons,World War I
HMS Warrior,Warrior-class cruiser,Royal Navy,Pembroke Dock,World War I
HMS Defence,Minotaur class cruiser,Royal Navy,Pembroke Dock,World War I
Japanese cruiser Izumo,Izumo-class cruiser,Imperial Japanese Navy,Armstrong Whitworth,World War I
Tokiwa,armored cruiser,Imperial Japanese Navy,Armstrong Whitworth,World War I
Japanese cruiser Asama,armored cruiser,Imperial Japanese Navy,Armstrong Whitworth,World War I
HMS Hampshire,Devonshire-class cruiser,Royal Navy,Armstrong Whitworth,World War I
SMS Prinz Adalbert,Prinz Adalbert-class cruiser,Imperial German Navy,Kaiserliche Werft Kiel,World War I
USS South Dakota,Pennsylvania-class cruiser,United States Navy,New York Shipbuilding Corporation,World War I
