col0,col1,col2,col3,col4
Murat Bay,District Council of Ceduna,3408,District of Murat Bay,Mayor of Murat Bay
Whyalla,Corporation of the City of Whyalla,21828,City of Whyalla,Mayor of Whyalla
Yankalilla,District Council of Yankalilla,5159,District of Yankalilla,Mayor of Yankalilla
Robe,District Council of Robe,1378,District of Robe,Mayor of Robe
Port Lincoln,Corporation of the City of Port Lincoln,14064,City of Port Lincoln,Mayor of Port Lincoln
Mount Gambier,Corporation of the City of Mount Gambier,26276,City of Mount Gambier,Mayor of Mount Gambier
Mallala,Adelaide Plains Council,8801,District of Mallala,Mayor of Mallala
Elliston,District Council of Elliston,1045,District of Elliston,District Chairman of Elliston
Tatiara,District Council of Tatiara,6620,District of Tatiara,Mayor of Tatiara
Port Pirie,Port Pirie Regional Council,17364,Port Pirie City and District,Mayor of Port Pirie
Playford,City of Playford,89372,CIty of Playford,Mayor of Playford
