col0,col1,col2,col3,col4
Chiba University,Japan,1923-01-01,Chiba,Chiba
Fukushima University,Japan,1949-01-01,Fukushima,Fukushima
Saitama University,Japan,1949-01-01,Saitama,Saitama
Miyagi University of Education,Japan,1965-01-01,Sendai,Sendai
Tohoku University,Japan,1907-01-01,Sendai,Sendai
Gifu University,Japan,1949-01-01,Gifu,Gifu
Kharkiv National University of Economics,Ukraine,1930-10-01,Kharkiv,Kharkiv
Yokohama National University,Japan,1949-01-01,Yokohama,Yokohama
Hokkaido University of Education,Japan,1949-01-01,Sapporo,Sapporo
Kyoto University,Japan,1869-01-01,Kyoto,Kyoto
Akita University,Japan,1949-01-01,Akita,Akita
Nagoya University,Japan,1939-01-01,Nagoya,Nagoya
Nagoya Institute of Technology,Japan,1949-05-31,Nagoya,Nagoya
Hitotsubashi University,Japan,1875-01-01,Kunitachi,Tokyo
Tokyo Medical and Dental University,Japan,1946-01-01,Bunkyō-ku,Tokyo
Ochanomizu University,Japan,1949-01-01,Bunkyō-ku,Tokyo
Tokyo University of Agriculture and Technology,Japan,1949-01-01,Fuchū,Tokyo
National Graduate Institute for Policy Studies,Japan,1997-01-01,Tokyo,Tokyo
Ho Chi Minh City University of Technology and Education,Vietnam,1962-10-05,Ho Chi Minh City,Thủ Đức
Seoul National University,South Korea,1946-01-01,Seoul,Gwanak District
