col0,col1,col2,col3,col4,col5
2009 European Parliament election in Wales,member of the European Parliament,Jill Evans,Liberal Democrats,2009 European Parliament election in the United Kingdom,2014 European Parliament election in Wales
2009 European Parliament election in Yorkshire and the Humber,member of the European Parliament,Andrew Brons,Liberal Democrats,2009 European Parliament election in the United Kingdom,2014 European Parliament election in Yorkshire and the Humber
2009 European Parliament election in West Midlands,member of the European Parliament,Mike Nattrass,Christian Party,2009 European Parliament election in the United Kingdom,2014 European Parliament election in West Midlands
2009 European Parliament election in South West England,member of the European Parliament,"William Legge, 10th Earl of Dartmouth",Liberal Democrats,2009 European Parliament election in the United Kingdom,2014 European Parliament election in South West England
2009 European Parliament election in South East England,member of the European Parliament,James Elles,UK Independence Party,2009 European Parliament election in the United Kingdom,2014 European Parliament election in South East England
2014 European Parliament election in Yorkshire and the Humber,member of the European Parliament,Timothy Kirkhope,Liberal Democrats,2014 European Parliament election in the United Kingdom,2019 European Parliament election in Yorkshire and the Humber
2014 European Parliament election in West Midlands,member of the European Parliament,Anthea McIntyre,Liberal Democrats,2014 European Parliament election in the United Kingdom,2019 European Parliament election in West Midlands
2009 European Parliament election in London,member of the European Parliament,"Sarah Ludford, Baroness Ludford",Liberal Democrats,2009 European Parliament election in the United Kingdom,2014 European Parliament election in London
2014 European Parliament election in East Midlands,member of the European Parliament,Emma McClarkin,Liberal Democrats,2014 European Parliament election in the United Kingdom,2019 European Parliament election in East Midlands
2014 European Parliament election in South West England,member of the European Parliament,"William Legge, 10th Earl of Dartmouth",Liberal Democrats,2014 European Parliament election in the United Kingdom,2019 European Parliament election in South West England
2009 European Parliament election in Scotland,member of the European Parliament,David Martin,Liberal Democrats,2009 European Parliament election in the United Kingdom,2014 European Parliament election in Scotland
2009 European Parliament election in North East England,member of the European Parliament,Fiona Hall,Jury Team,2009 European Parliament election in the United Kingdom,2014 European Parliament election in North East England
2009 European Parliament election in North West England,member of the European Parliament,Nick Griffin,Liberal Democrats,2009 European Parliament election in the United Kingdom,2014 European Parliament election in North West England
