col0,col1,col2,col3,col4,col5
North Elbian Evangelical Lutheran Church,former entity,Germany,Evangelical Church in Germany,Körperschaft des öffentlichen Rechts,World Council of Churches
Evangelical Lutheran Church of Mecklenburg,former entity,Germany,Evangelical Church in Germany,Körperschaft des öffentlichen Rechts,Community of Protestant Churches in Europe
Pomeranian Evangelical Church,former entity,Germany,Evangelical Church in Germany,Körperschaft des öffentlichen Rechts,Community of Protestant Churches in Europe
Church of Lippe,Landeskirche,Germany,Evangelical Church in Germany,Körperschaft des öffentlichen Rechts,Community of Protestant Churches in Europe
Evangelical Church of Westphalia,Landeskirche,Germany,Evangelical Church in Germany,Körperschaft des öffentlichen Rechts,Community of Protestant Churches in Europe
Evangelical Church of Hesse Electorate-Waldeck,Landeskirche,Germany,Evangelical Church in Germany,Körperschaft des öffentlichen Rechts,Community of Protestant Churches in Europe
Protestant Church in Hesse and Nassau,Landeskirche,Germany,Evangelical Church in Germany,Körperschaft des öffentlichen Rechts,Community of Protestant Churches in Europe
Evangelical Church in the Rhineland,Landeskirche,Germany,Evangelical Church in Germany,Körperschaft des öffentlichen Rechts,Community of Protestant Churches in Europe
Evangelical Lutheran Church of Schaumburg-Lippe,Landeskirche,Germany,Evangelical Church in Germany,Körperschaft des öffentlichen Rechts,Community of Protestant Churches in Europe
Evangelical Lutheran Church in Oldenburg,Landeskirche,Germany,Evangelical Church in Germany,Körperschaft des öffentlichen Rechts,Community of Protestant Churches in Europe
