col0,col1,col2,col3,col4,col5
UnitedHealthcare,2018-01-01,UCI Trade Team III,United States of America,UnitedHealthcare,road bicycle racing
Capec,2007-01-01,UCI Trade Team III,Kazakhstan,Capec,road bicycle racing
Jamis,2016-01-01,UCI Trade Team III,United States of America,Jamis,road bicycle racing
Successfulliving.com-Parkpre,2008-01-01,UCI Trade Team III,United States of America,Successfulliving.com-Parkpre,road bicycle racing
Cult Energy,2015-01-01,UCI Trade Team III,Denmark,Cult Energy,road bicycle racing
Capec,2007-01-01,club cycling team,Kazakhstan,Capec,road bicycle racing
Jittery Joe's,2008-01-01,UCI Continental Team,United States of America,Jittery Joe's,road bicycle racing
UnitedHealthcare,2018-01-01,UCI Continental Team,United States of America,UnitedHealthcare,road bicycle racing
Capec,2007-01-01,UCI Continental Team,Kazakhstan,Capec,road bicycle racing
Jamis,2016-01-01,UCI Continental Team,United States of America,Jamis,road bicycle racing
Successfulliving.com-Parkpre,2008-01-01,UCI Continental Team,United States of America,Successfulliving.com-Parkpre,road bicycle racing
Cult Energy,2015-01-01,UCI Continental Team,Denmark,Cult Energy,road bicycle racing
UnitedHealthcare,2018-01-01,UCI Professional Continental Team,United States of America,UnitedHealthcare,road bicycle racing
Cult Energy,2015-01-01,UCI Professional Continental Team,Denmark,Cult Energy,road bicycle racing
Stabil - Steiermark,2001-01-01,UCI Trade Team III,Austria,Stabil - Steiermark,road bicycle racing
