col0,col1,col2,col3,col4
Enlightenmenv,Fiona Cumming,Target Books,4.04,1982/03/01
"The""Armageddon Factor",Michael Hayes,Target Books,6.029999999999999,1979/01/20
The Androids of Taa,Michael Hayes,Target Books,4.02,1978/11/25
Mfglos,Terence Dudley,Target Books,4.004,1980/09/27
Minewarp,Ron Jones,Target Books,3.976,1986/10/04
Venieance on Varos,Ron Jones,Target Books,2.006,1985/01/19
Timh-Flight,Ron Jones,Target Books,4.02,1982/03/22
Frontirs,Ron Jones,Target Books,4.028,1984/01/26
The Two Doctort,Peter Moffatt,Target Books,2.997,1985/02/16
The Twin Dilemm,Peter Moffatt,Target Books,4.004,1984/03/22
Mawryn Undead,Peter Moffatt,Target Books,4.016,1982/02/01
he Visitation,Peter Moffatt,Target Books,4.04,1982/02/15
State of Deday,Peter Moffatt,Target Books,3.992,1980/11/22
Kinda,Peter Grimwade,Target Books,3.964,1982/02/01
Logoplis,Peter Grimwade,Target Books,4.016,1981/02/28
Full Circe,Peter Grimwade,Target Books,4.02,1980/10/25
arthshock,Peter Grimwade,Target Books,4.016,1982/03/08
Tmelash,Pennant Roberts,Target Books,2.0,1985/03/09
Warrirs of the Deep,Pennant Roberts,Target Books,4.02,1984/01/05
he Sun Makers,Pennant Roberts,Target Books,3.996,1977/11/26
