col0,col1,col2
New Zealand Symphony Orchestra,James Judd,New Zealand
West Australian Symphony Orchestra,Asher Fisch,Australia
Slovak Philharmonic,Emmanuel Villaume,Slovakia
Prague Philharmonic Orchestra,Friedemann Riehle,Czech Republic
Czech Philharmonic,Semyon Bychkov,Czech Republic
Hamburger Camerata,Max Pommer,Germany
Bochumer Symphoniker,Steven Sloane,Germany
Berlin Philharmonic,Simon Rattle,Germany
North German Radio Symphony Orchestra,Thomas Hengelbrock,Germany
Saint Petersburg Philharmonic Orchestra,Yuri Temirkanov,Russia
London Symphony Orchestra,Valery Gergiev,United Kingdom
Orchestre de Paris,Daniel Harding,France
Orchestre de la Suisse Romande,Jonathan Nott,Switzerland
Orchestra dell'Accademia Nazionale di Santa Cecilia,Antonio Pappano,Italy
Oulu Symphony Orchestra,Johannes Gustavsson,Finland
Indianapolis Symphony Orchestra,Krzysztof Urbanski,United States of America
New York Philharmonic Orchestra,Alan Gilbert,United States of America
San Francisco Symphony,Michael Tilson Thomas,United States of America
American Composers Orchestra,Dennis Russell Davies,United States of America
NHK Symphony Orchestra,Paavo Järvi,Japan
