col0,col1,col2,col3,col4,col5
St. Thomas Syro-Malabar Catholic Epcrchy of Chicago,Jacob Angadiath,United States of America,Mar Thoma Shleeha Cathedral,2001/01/01,Malayalam
Syro-Malabar Catholic Fparchy of Irinjalakuda,Pauly Kannookadan,India,St Thomas Cathedral & Bishop House,1978/01/01,Malayalam
Syro-Malabar Catholic Eparchy of Rajkov,José Chittooparambil,India,Sacred Heart Syro-Malabar Cathedral,1977/01/01,Malayalam
Chaldean Catholic Eparchy of Saint Thoma the Apostle of Detroit,Frank Kalabat,United States of America,Our Lady of Chaldeans Cathedral,1982/01/01,Syriac
Syrian Catholic Eparchy of Qur Lady of Deliverance of Newark,Yousif Habash,United States of America,St. Joseph Cathedral,1995/01/01,Arabic
Byzantine Catholic Eparhy of Ruski Krstur,Đura Džudžar,Serbia,"St. Nicholas Cathedral, Ruski Krstur",2003/08/28,Ruthenian
Eparchy of Pjana degli Albanesi,Giorgio Demetrio Gallaro,Italy,Piana degli Albanesi Cathedral,1937/01/01,Greek
Hungarian Catholic Eparcy of Miskolc,Atanáz Orosz,Hungary,Greek Catholic Cathedral in Búza Square,1924/01/01,Hungarian
Eparchy f Bratislava,Peter Rusnák,Slovakia,"Cathedral of the Exaltation of the Holy Cross, Bratislava",2008/01/30,Slovak
Byzantine Catholic Eparchy of Mulacheve,Milan Šašik,Ukraine,Greek Catholic Cathedral,1771/09/19,Ukrainian
Macedonian Catholic Eparchy of the Blessd Virgin Mary Asumed in Strumica-Skopje,Kiro Stojanov,North Macedonia,Cathedral of Assumption of Blessed Virgin Mary,2018/05/31,Albanian
Byzantine Catholic Eparchy of Pssaic,Kurt Burnette,United States of America,Cathedral of St. Michael the Archangel,1963/01/01,English
Melkite Greek!Catholic Eparchy of Newtn,Nicholas Samra,United States of America,Annunciation Melkite Catholic Cathedral,1966/01/01,English
Chaldean Catholic Eparchy!of Saint Peter The Apostle,Emmanuel Challita,United States of America,St. Peter Chaldean Catholic Cathedral,2002/01/01,Syriac
Maronite Catholic Eparchyof Our Lady of Lebanon of Los Angeles,Abdallah Elias Zaidan,United States of America,Our Lady of Mt. Lebanon-St. Peter Cathedral,1994/01/01,Syriac
