col0,col1,col2,col3
Kurdistan Democratic Party,Masoud Barzani,Iraq,Mustafa Barzani
Iron Guard,Horia Sima,Romania,Corneliu Zelea Codreanu
Party of Democratic Action,Bakir Izetbegović,Bosnia and Herzegovina,Alija Izetbegović
German Fatherland Party,Alfred von Tirpitz,German Empire,Wolfgang Kapp
Socialist People's Party,Pia Olsen Dyhr,Denmark,Aksel Larsen
PAIS Alliance,Lenín Moreno,Ecuador,Rafael Correa
Neuquén People's Movement,Jorge Sobisch,Argentina,Felipe Sapag
Republican Party of Armenia,Serzh Sargsyan,Armenia,Ashot Navasardyan
Lega Lombarda,Giancarlo Giorgetti,Italy,Umberto Bossi
Brexit Party,Nigel Farage,United Kingdom,Alistair McKenna
UK Independence Party,Nigel Farage,United Kingdom,Alan Sked
New Flemish Alliance,Bart De Wever,Belgium,Geert Bourgeois
Lebanese Forces,Amine Gemayel,Lebanon,Bachir Gemayel
Freedom Front Plus,Pieter Mulder,South Africa,Constand Viljoen
Democratic Social Christian Party,Bo-Boliko Lokonga,Democratic Republic of the Congo,Joseph Iléo
One Nation,Pauline Hanson,Australia,David Ettridge
Nepali Congress,Sher Bahadur Deuba,Nepal,Bishweshwar Prasad Koirala
Sinn Féin,Mary Lou McDonald,Ireland,Arthur Griffith
Dravida Munnetra Kazhagam,Karunanidhi,India,C. N. Annadurai
All India Anna Dravida Munnetra Kazhagam,Jayalalitha Jayaram,India,M. G. Ramachandran
