col0,col1,col2
Croix de guerre 1914–1918,France,National Recognition Medal for Victims of Terrorism
Order For Courage,Ukraine,Order of the Heavenly Hundred Heroes
Distinguished Service Order,United Kingdom,Commander of the Order of the British Empire
Medal for Gallantry,Australia,Nursing Service Cross
Military Medal,United Kingdom,Distinguished Service Medal
"Medal ""For Courage""",Soviet Union,Medal of the Order of Parental Glory
Bravery Medal,Australia,Medal for Gallantry
Order of Courage,Russia,Order of Nakhimov
Medal of Military Valour,Canada,Meritorious Service Cross
Queen's Fire Service Medal,United Kingdom,Queen's Police Medal
Croix de guerre 1939–1945,France,Croix de guerre 1914–1918
Vir Chakra,India,Ati Vishisht Seva Medal
Croix de guerre des théâtres d'opérations extérieures,France,Croix de guerre 1939–1945
Navy Gallantry Cross,South Vietnam,Air Gallantry Cross
Hilal-i-Jur'at,Pakistan,Nishan-e-Haider
