col0,col1,col2,col3,col4,col5,col6
Expedition 43,Expedition 44,Scott Kelly,International Space Station,Soyuz TMA-15M,Expedition 42,2015-03-11
Expedition 13,Expedition 14,Thomas Reiter,International Space Station,Soyuz TMA-8,Expedition 12,2006-04-01
Expedition 11,Expedition 12,Sergei Krikalev,International Space Station,Soyuz TMA-6,Expedition 10,2005-04-17
Expedition 10,Expedition 11,Leroy Chiao,International Space Station,Soyuz TMA-5,Expedition 9,2004-10-16
Expedition 9,Expedition 10,Michael Fincke,International Space Station,Soyuz TMA-4,Expedition 8,2004-04-21
Expedition 8,Expedition 9,Aleksandr Kaleri,International Space Station,Soyuz TMA-3,Expedition 7,2003-10-20
Expedition 7,Expedition 8,Yuri Malenchenko,International Space Station,Soyuz TMA-2,Expedition 6,2003-04-28
Expedition 6,Expedition 7,Donald Pettit,International Space Station,STS-113,Expedition 5,2002-11-25
Expedition 5,Expedition 6,Peggy Whitson,International Space Station,STS-111,Expedition 4,2002-06-07
Expedition 4,Expedition 5,Carl E. Walz,International Space Station,STS-108,Expedition 3,2001-12-07
Expedition 3,Expedition 4,Mikhail Tyurin,International Space Station,STS-105,Expedition 2,2001-08-12
Expedition 42,Expedition 43,Samantha Cristoforetti,International Space Station,Soyuz TMA-15M,Expedition 41,2014-11-10
Expedition 2,Expedition 3,Susan J. Helms,International Space Station,STS-102,Expedition 1,2001-03-10
Expedition 52,Expedition 53,Paolo Nespoli,International Space Station,Soyuz MS-03,Expedition 51,2017-06-02
Expedition 53,Expedition 54,Paolo Nespoli,International Space Station,Soyuz MS-05,Expedition 52,2017-09-02
Expedition 45,Expedition 46,Mikhail Korniyenko,International Space Station,Soyuz TMA-16M,Expedition 44,2015-09-11
Expedition 55,Expedition 56,Richard R. Arnold,International Space Station,Soyuz MS-07,Expedition 54,2018-02-27
Expedition 54,Expedition 55,Joseph M. Acaba,International Space Station,Soyuz MS-06,Expedition 53,2017-12-14
Expedition 46,Expedition 47,Sergey Alexandrovich Volkov,International Space Station,Soyuz TMA-16M,Expedition 45,2015-12-11
Expedition 41,Expedition 42,Alexander Gerst,International Space Station,Soyuz TMA-13M,Expedition 40,2014-09-10
