col0,col1,col2,col3,col4,col5
Domino's Pizza,United States of America,Ypsilanti,fast food,Ann Arbor Charter Township,1960-06-10
Papa Gino's,United States of America,Boston,gastronomy,Dedham,1961-10-23
Sbarro,United States of America,New York City,fast food,Huntington,1956-01-01
Telepizza,Spain,Madrid,gastronomy,San Sebastián de los Reyes,1986-01-01
Boston Pizza,Canada,Edmonton,System catering,Richmond,1964-01-01
Chuck E. Cheese,United States of America,San Jose,quick service restaurant sector,Irving,1977-01-01
Pizza Hut,United States of America,Wichita,quick service restaurant sector,Plano,1958-01-01
Pizza Schmizza,United States of America,Oregon,fast food,Salem,1993-01-01
Papa John's Pizza,United States of America,Jeffersontown,gastronomy,Louisville,1984-01-01
Happy Joe's,United States of America,Bettendorf,restaurant,Bettendorf,1972-01-01
LaRosa's Pizzeria,United States of America,Cincinnati,gastronomy,Cincinnati,1954-01-01
