col0,col1,col2,col3,col4,col5
1973 Helvetia Cup,badminton,Austria,1971 Helvetia Cup,Austria national badminton team,1975 Helvetia Cup
1970 Helvetia Cup,badminton,Germany,1969 Helvetia Cup,Germany national badminton team,1971 Helvetia Cup
1966 Helvetia Cup,badminton,Belgium,1965 Helvetia Cup,Germany national badminton team,1967 Helvetia Cup
1964 Helvetia Cup,badminton,Netherlands,1963 Helvetia Cup,Germany national badminton team,1965 Helvetia Cup
1969 Helvetia Cup,badminton,Czechoslovakia,1968 Helvetia Cup,Germany national badminton team,1970 Helvetia Cup
1981 Helvetia Cup,badminton,Norway,1979 Helvetia Cup,France national badminton team,1983 Helvetia Cup
1971 Helvetia Cup,badminton,Netherlands,1970 Helvetia Cup,Germany national badminton team,1973 Helvetia Cup
1967 Helvetia Cup,badminton,Switzerland,1966 Helvetia Cup,Germany national badminton team,1968 Helvetia Cup
1965 Helvetia Cup,badminton,Austria,1964 Helvetia Cup,Germany national badminton team,1966 Helvetia Cup
1963 Helvetia Cup,badminton,Germany,1962 Helvetia Cup,Germany national badminton team,1964 Helvetia Cup
