col0,col1,col2,col3,col4,col5
"HHE Report No. HETA-84-404-1579, Florida State Archives, Tallahassee, Florida","HHE Report No. HETA-84-404-1579, Florida State Archives, Tallahassee, Florida",1985-04-01,ethylene oxide,Michael S. Crandall,National Institute for Occupational Safety and Health
Senior captain suffers sudden cardiac death during training - Alaska,Senior captain suffers sudden cardiac death during training - Alaska,2014-08-01,public security,Thomas R. Hales,National Institute for Occupational Safety and Health
Fire crew supervisor suffers sudden cardiac death during pack test - Wyoming,Fire crew supervisor suffers sudden cardiac death during pack test - Wyoming,2014-12-01,public security,Thomas R. Hales,National Institute for Occupational Safety and Health
Fire fighter-technician suffers cardiac death 6 hours after responding to several emergency calls,Fire fighter-technician suffers cardiac death 6 hours after responding to several emergency calls,2007-09-21,public security,Thomas R. Hales,National Institute for Occupational Safety and Health
In-depth survey report: concrete surface preparation tools machines 2 & 3 (superseded),In-depth survey report: concrete surface preparation tools machines 2 & 3 (superseded),2015-09-01,quartz,Alan S. Echt,National Institute for Occupational Safety and Health
"HHE Report No. HETA-95-0200-2579, Jim Dixon Lincoln-Mercury, Inc., Fairfield, Ohio","HHE Report No. HETA-95-0200-2579, Jim Dixon Lincoln-Mercury, Inc., Fairfield, Ohio",1996-05-01,carbon monoxide,Alan S. Echt,National Institute for Occupational Safety and Health
Laborer dies from fall through skylight while shoveling snow on roof,Laborer dies from fall through skylight while shoveling snow on roof,1999-09-24,snow shoveling,Wisconsin Department of Health Services,National Institute for Occupational Safety and Health
City engineer killed in landfill manhole when retrieving flow meter,City engineer killed in landfill manhole when retrieving flow meter,2003-11-29,methane,New York State Department of Health,National Institute for Occupational Safety and Health
Insufficient oxygen level in sewer claims the life of plumbing contractor in Georgia,Insufficient oxygen level in sewer claims the life of plumbing contractor in Georgia,1986-09-29,methane,National Institute for Occupational Safety and Health,National Institute for Occupational Safety and Health
In-depth survey report: control technology for crystalline silica exposures in construction-effect of exhaust flow rate upon-res,"In-depth survey report: control technology for crystalline silica exposures in construction-effect of exhaust flow rate upon-respirable dust emissions for tuck pointing operations-preliminary evaluation-ventilated tool for brick cutting at international masonry institute, Cascade, MD, CT-247-18*",2001-02-01,quartz,William A. Heitbrink,National Institute for Occupational Safety and Health
"HHE Report No. HETA-88-344-2092, Shoprite Supermarkets, New Jersey- New York","HHE Report No. HETA-88-344-2092, Shoprite Supermarkets, New Jersey- New York",1991-01-01,musculoskeletal disorder,Sherry L. Baron,National Institute for Occupational Safety and Health
"Health hazard evaluation report: HETA-2000-0283-2823, Rehabilitation Services Commission, Columbus, Ohio","Health hazard evaluation report: HETA-2000-0283-2823, Rehabilitation Services Commission, Columbus, Ohio",2001-01-01,ozone,Kenneth F. Martinez,National Institute for Occupational Safety and Health
