col0,col1,col2,col3,col4,col5,col6,col7
Nikon D70s,2005-01-01,Nikon,Nikon D series,digital single-lens reflex camera,Nikon D80,Nikon D70,Nikon
Nikon D3300,2014-01-01,Nikon,Nikon D series,digital single-lens reflex camera,Nikon D3400,Nikon D3200,Nikon
Nikon D200,2005-01-01,Nikon,Nikon D series,digital single-lens reflex camera,Nikon D300,Nikon D100,Nikon
Nikon D1X,2001-06-01,Nikon,Nikon D series,digital single-lens reflex camera,Nikon D2X,Nikon D1,Nikon
Nikon D1H,2001-01-01,Nikon,Nikon D series,digital single-lens reflex camera,Nikon D2H,Nikon D1,Nikon
Nikon D60,2008-01-01,Nikon,Nikon D series,digital single-lens reflex camera,Nikon D5000,Nikon D40x,Nikon
Nikon D90,2008-01-01,Nikon,Nikon D series,digital single-lens reflex camera,Nikon D7000,Nikon D80,Nikon
Nikon D7000,2010-01-01,Nikon,Nikon D series,digital single-lens reflex camera,Nikon D7100,Nikon D90,Nikon
Nikon D5100,2011-01-01,Nikon,Nikon D series,digital single-lens reflex camera,Nikon D5200,Nikon D5000,Nikon
Nikon D4,2012-01-01,Nikon,Nikon D series,full-frame digital SLR,Nikon D5,Nikon D3,Nikon
Nikon D300S,2009-01-01,Nikon,Nikon D series,digital single-lens reflex camera,Nikon D500,Nikon D300,Nikon
Nikon 1 V2,2012-10-24,Nikon,Nikon 1 series,mirrorless interchangeable-lens camera,Nikon 1 V3,Nikon 1 V1,Nikon
Canon EOS 550D,2010-01-01,Canon Inc.,Canon EOS,digital single-lens reflex camera,Canon EOS 600D,Canon EOS 500D,Canon
Nikon D3,2007-01-01,Nikon,Nikon D series,full-frame digital SLR,Nikon D4,Nikon D2Xs,Nikon
Nikon D300,2007-08-23,Nikon,Nikon D series,digital single-lens reflex camera,Nikon D300S,Nikon D200,Nikon
