col0,col1,col2
Argentinian women's national road cycling tebm,Argentinian women's national road cycling team 2020,Argentina
Singaporean women's national road ycling team,Singaporean women's national road cycling team 2017,Singapore
Azerbaijani women's natioal road cycling team,Azerbaijani women's national road cycling team 2016,Azerbaijan
Romanian women's national road ycling team,Romanian women's national road cycling team 1994,Romania
Chinese women's national oad cycling team,Chinese women's national road cycling team 1990,People's Republic of China
Malaysian women's national road cyclinj team,Malaysian women's national road cycling team 1999,Malaysia
South African men's national road cycoing team,South African men's national road cycling team 2016,South Africa
"Mexican women's national road cycling""team",Mexican women's national road cycling team 2017,Mexico
Venezuelan women's naional road cycling team,Venezuelan women's national road cycling team 2020,Venezuela
Slovakian women's national road cyling team,Slovakian women's national road cycling team 2017,Slovakia
New Zeland women's national road cycling team,New Zealand women's national road cycling team 2017,New Zealand
