col0,col1,col2,col3,col4,col5
Memphis Tigers women's basketball,women's basketball,1919-01-01,United States of America,Melissa McFerrin,University of Memphis
Tennessee Lady Volunteers basketball,women's basketball,1903-01-01,United States of America,Holly Warlick,University of Tennessee
South Carolina Gamecocks women's basketball,women's basketball,1974-01-01,United States of America,Dawn Staley,University of South Carolina
Florida State Seminoles women's basketball,women's basketball,1972-01-01,United States of America,Sue Semrau,Florida State University
Florida Gators women's basketball,women's basketball,1972-01-01,United States of America,Amanda Butler,University of Florida
Texas A&M Aggies women's basketball,women's basketball,1973-01-01,United States of America,Gary Blair,Texas A&M University
Davidson Wildcats women's basketball,women's basketball,1973-01-01,United States of America,Gayle Coats Fulks,Davidson College
San Francisco Dons women's basketball,women's basketball,1976-01-01,United States of America,Molly Goodenbour,University of San Francisco
Loyola Marymount Lions women's basketball,women's basketball,1981-01-01,United States of America,Charity Elliott,Loyola Marymount University
Rhode Island Rams women's basketball,women's basketball,1975-01-01,United States of America,Daynia La-Force,University of Rhode Island
Gonzaga Bulldogs women's basketball,women's basketball,1987-01-01,United States of America,Lisa Mispley Fortier,Gonzaga University
Saint Joseph's Hawks women's basketball,women's basketball,1973-01-01,United States of America,Cindy Griffin,Saint Joseph's University
