col0,col1,col2
Library and Archives Canada,Ottawa,Public Archives and National Library Building
National Diet Library,Tokyo,Nagatachō
National Library of Portugal,Lisbon,Alvalade
Hong Kong Central Library,Wan Chai District,Hong Kong
National Library of Northern Cyprus,North Nicosia,Nicosia
King Fahd National Library,Olaya,Riyadh
National Library of Estonia,Kesklinn,Tallinn
Library of Congress,United States Capitol,"Washington, D.C."
National Library of Finland,Helsinki,National Library of Finland
National Library of Belarus,Minsk,National Library of Belarus
United States National Library of Medicine,Bethesda,Bethesda
National Library of Aruba,Oranjestad,Oranjestad
Tabriz National Library,Tabriz,Tabriz
Antigua Public Library,St. John's,St. John's
National Library of Kazakhstan,Almaty,Almaty
National Library of Mongolia,Ulaanbaatar,Ulaanbaatar
National Library of Albania,Tirana,Tirana
National Library of Romania,Bucharest,Bucharest
National Library of Indonesia,Jakarta,Jakarta
National Library of Australia,Canberra,Canberra
