col0,col1,col2
War Academy,1867-01-01,Munich
Acadèmia Militar de Barcelona,1716-01-01,Barcelona
United States Military Academy Preparatory School,1947-01-01,New York
United States Air Force Academy Preparatory School,1961-01-01,Colorado
PLA National Defense University,1985-01-01,Beijing
Red Army Military Law Academy,1939-01-01,Moscow
Portuguese Military Academy,1640-01-01,Lisbon
Military Medical Academy,1891-01-01,Sofia
National Intelligence University,1962-01-01,"Washington, D.C."
Armed Forces Academies Preparatory School,1958-01-27,Si Ka-ang
Commando Training Centre Royal Marines,1940-01-01,Lympstone
