col0,col1,col2,col3,col4
Croix de guerre 1914–1918,1915-04-02,France,Croix de guerre 1939–1945,National Recognition Medal for Victims of Terrorism
Order For Courage,1996-08-21,Ukraine,Order of Princess Olga,Order of the Heavenly Hundred Heroes
Distinguished Service Order,1886-09-06,United Kingdom,Lieutenant of the Royal Victorian Order,Commander of the Order of the British Empire
Medal for Gallantry,1991-01-15,Australia,Bravery Medal,Nursing Service Cross
"Medal ""For Courage""",1938-10-17,Soviet Union,Ushakov Medal,Medal of the Order of Parental Glory
Bravery Medal,1975-02-14,Australia,Distinguished Service Medal,Medal for Gallantry
Order of Courage,1994-03-02,Russia,Order of Military Merit,Order of Nakhimov
Medal of Military Valour,1993-02-02,Canada,Medal of Bravery,Meritorious Service Cross
Vir Chakra,1950-01-26,India,Shaurya Chakra,Ati Vishisht Seva Medal
Croix de guerre des théâtres d'opérations extérieures,1921-04-30,France,Cross for Military Valour,Croix de guerre 1939–1945
