col0,col1,col2
The Pretenders,Live Aid,Sire
Brainstorm,Eurovision Song Contest 2000,EMI
A Friend in London,Eurovision Song Contest 2011,ArtPeople
Telex,Eurovision Song Contest 1980,EMI
Vanilla Ninja,Eurovision Song Contest 2005,TopTen
Elán,Eurovision Song Contest 1993,OPUS Records
The Boomtown Rats,Live Aid,Mercury Records
Run-D.M.C.,Live Aid,Arista
No Angels,Eurovision Song Contest 2008,Universal Music Group
Blue,Eurovision Song Contest 2011,Innocent Records
Lordi,Eurovision Song Contest 2006,AFM Records
Spandau Ballet,Live Aid,Epic
ABBA,Eurovision Song Contest 1974,Universal Music Group
Los TNT,Eurovision Song Contest 1964,RCA Records
Silver Convention,Eurovision Song Contest 1977,Atco Records
Il Volo,Eurovision Song Contest 2015,Geffen Records
Mental As Anything,Oz for Africa,CBS Records
Duran Duran,Live Aid,Capitol Records
Las Ketchup,Eurovision Song Contest 2006,Warner Music Group
Secret Garden,Eurovision Song Contest 1995,Universal Records
