col0,col1,col2,col3,col4
Jison-in,Kōyasan Shingon-shū,0.04,Kudoyama,part of World Heritage Site
Seiganto-ji,Tendai,0.2,Nachikatsuura,part of World Heritage Site
Xingjiao Temple,Buddhism,2.08,Xi'an,National Key Buddhist Temples in Han Chinese Area
Kongōbu-ji,Kōyasan Shingon-shū,61.4,Kōya,National Treasure
Kimpusen-ji,Shugendō,0.9,Yoshino,National Treasure
Gangō-ji,Shingon Risshu,0.8,Nara,National Treasure
Kinkaku-ji,Rinzai school,9.3,Kita-ku,part of World Heritage Site
Ryōan-ji,Rinzai school,3.9,Kyoto,part of World Heritage Site
Ginkaku-ji,Rinzai school,5.7,Sakyō-ku,National Treasure
Kiyomizu-dera,East Asian Yogācāra,12.3,Higashiyama-ku,National Treasure
Byōdō-in,Buddhism,2.0,Uji,National Treasure
Tōdai-ji,Huayan school,68.9,Nara,National Treasure
Mōtsū-ji,Tendai,22.7,Hiraizumi,special historic site
Enryaku-ji,Tendai,497.7,Sakamotohonmachi,National Treasure
Nishi Hongan-ji,Honganji-ha,6.1,Shimogyō-ku,National Treasure
Tōshōdai-ji,Risshū,9.1,Nara,National Treasure
Yakushi-ji,East Asian Yogācāra,5.1,Nara,National Treasure
Kōzan-ji,Buddhism,15.7,Kyoto,National Treasure
