col0,col1,col2,col3,col4,col5,col6,col7
Carnival Elation,Panama,STX Finland Oy,ceremonial ship launching,260.6,71909,Panama City,Carnival Corporation & plc
Carnival Freedom,Panama,Fincantieri,ceremonial ship launching,290.2,110000,Panama City,Carnival Corporation & plc
Carnival Dream,Panama,Fincantieri,ceremonial ship launching,306.0,130000,Panama City,Carnival Corporation & plc
Carnival Splendor,Panama,Fincantieri,ceremonial ship launching,290.2,113300,Panama City,Carnival Corporation & plc
Carnival Glory,Panama,Fincantieri,ceremonial ship launching,290.2,110000,Panama City,Carnival Corporation & plc
Carnival Pride,Panama,Meyer Turku,Ceremonial ship launching,293.5,88500,Panama City,Carnival Corporation & plc
Carnival Magic,Panama,Fincantieri,Ceremonial ship launching,306.0,130000,Panama City,Carnival Corporation & plc
Carnival Liberty,Panama,Fincantieri,Ceremonial ship launching,290.2,110000,Panama City,Carnival Corporation & plc
Carnival Conquest,Panama,Fincantieri,Ceremonial ship launching,290.0,110000,Panama City,Carnival Corporation & plc
Carnival Fascination,Bahamas,Meyer Turku,ceremonial ship launching,260.8,70367,Nassau,Carnival Corporation & plc
Carnival Triumph,Bahamas,Fincantieri,Ceremonial ship launching,272.82,101509,Nassau,Carnival Corporation & plc
Celebrity Equinox,Malta,Meyer Werft,maiden voyage,317.2,121878,Valletta,Royal Caribbean Cruises Ltd.
