col0,col1,col2,col3,col4
Münchener Hypothekenbank,22.9,462,Eingetragene Genossenschaft,Association of German Pfandbrief Banks
Deutsche Apotheker- und Ärztebank,19.45,2563,Eingetragene Genossenschaft,Association of German Pfandbrief Banks
Volksbank Eisenberg,20.6,72,Eingetragene Genossenschaft,Genossenschaftsverband
Pommersche Volksbank,19.5242,124,Eingetragene Genossenschaft,Genossenschaftsverband
Frankfurter Volksbank,19.47,1337,Eingetragene Genossenschaft,Genossenschaftsverband
Münchener Hypothekenbank,22.9,462,Eingetragene Genossenschaft,Genossenschaftsverband
Deutsche Apotheker- und Ärztebank,19.45,2563,Eingetragene Genossenschaft,Genossenschaftsverband
Münchener Hypothekenbank,22.9,462,Eingetragene Genossenschaft,Deutscher Genossenschafts- und Raiffeisenverband
Deutsche Apotheker- und Ärztebank,19.45,2563,Eingetragene Genossenschaft,Bundesverband Öffentlicher Banken Deutschlands
Volksbank Eisenberg,20.6,72,Eingetragene Genossenschaft,Bankcard-Servicenetz
Pommersche Volksbank,19.5242,124,Eingetragene Genossenschaft,Bankcard-Servicenetz
