col0,col1,col2,col3,col4,col5
Mentors,Seattle,thrash metal,The Mentors discography,United States of America,Mystic Records
Nuclear Assault,New York City,thrash metal,Nuclear Assault discography,United States of America,I.R.S. Records
Tracktor Bowling,Moscow,alternative metal,Tracktor Bowling discography,Russia,Moroz Records
Angra,São Paulo,progressive metal,Angra discography,Brazil,JVC Kenwood Victor Entertainment
Dokken,Los Angeles,heavy metal,Dokken discography,United States of America,Elektra
Mötley Crüe,Los Angeles,heavy metal,Mötley Crüe discography,United States of America,Elektra
Fairyland,Nice,symphonic metal,Fairyland discography,France,Napalm Records
Mägo de Oz,Madrid,folk metal,Mägo de Oz discography,Spain,Locomotive Music
Queensrÿche,Bellevue,heavy metal,Queensrÿche discography,United States of America,Atco Records
Loudness,Ōsaka,heavy metal,Loudness discography,Japan,Atco Records
El Reloj,Lomas del Mirador,hard rock,El Reloj discography,Argentina,RCA Records
Skid Row,Toms River,heavy metal,Skid Row (American band) discography,United States of America,Atlantic Records
Overkill,Old Bridge Township,thrash metal,Overkill discography,United States of America,Atlantic Records
W.A.S.P.,Los Angeles,speed metal,W.A.S.P. discography,United States of America,Capitol Records
Saxon,Barnsley,heavy metal,Saxon discography,United Kingdom,EMI
Cathedral,Coventry,doom metal,Cathedral discography,United Kingdom,Nuclear Blast
Testament,Berkeley,speed metal,Testament discography,United States of America,Nuclear Blast
Sentenced,Muhos,gothic metal,Sentenced discography,Finland,Century Media Records
Pestilence,Enschede,heavy metal,Pestilence discography,Netherlands,Roadrunner Records
Mercyful Fate,Copenhagen,heavy metal,Mercyful Fate discography,Denmark,Roadrunner Records
