col0,col1,col2,col3,col4
Vaginal Antibody Safety Trial: Safety Study of Monoclonal Antibodies to Reduce the Vaginal Transmission of Herpes Simplex Virus (HSV) and Human Immunodeficiency Virus (HIV),immunological antineoplastic agent,2016-01-01,VAST,18
Drug Interaction Study Between AZD3480 and Cytochrome P450,Omeprazole / Sodium Bicarbonate,2007-11-01,Cocktail,18
Influence of Cola on the Absorption of the HCV Agent Velpatasvir in Combination With PPI Omeprazole.,Omeprazole / Sodium Bicarbonate,2018-08-01,COPA,18
Effect of Different Over-the-counter Toothpastes on Enamel Remineralization,fluoride,2019-01-01,RCT,18
Vitamin D Supplement Study for Adolescents,"(5R)-24,25-Dihydroxyvitamin D",2009-02-01,VIP,14
Vitd and Barrier Function in IBD,"(5R)-24,25-Dihydroxyvitamin D",2011-12-01,VIP,18
Efficacy Study of Paliperidone to Evaluate Subjective Change in Well-being and Drug Attitude in Schizophrenic Participants,paliperidone palmitate,2008-04-01,Power,18
Safety & Efficacy Study of Quetiapine Fumarate (SEROQUEL®) vs. Placebo and Active Control in Major Depressive Disorder,quetiapine fumarate,2006-04-01,DIAMOND,18
Green Tea With Aloe Vera Mouthwash and Chlorohexidine Mouthwash,chlorhexidine,2017-04-01,RCT,6
A Study to Evaluate the Efficacy and Safety of BuMA Supreme Drug Eluting Stent(DES),chlorhexidine,2015-12-01,RCT,18
MK-3475/BCG in High Risk Superficial Bladder Cancer,pembrolizumab,2015-06-01,MARC,18
Afatinib and Pembrolizumab for Head and Neck Squamous Cell Carcinoma (ALPHA Study),pembrolizumab,2018-11-01,ALPHA,20
Predisposing Factors for the Incidence of Adrenal Crisis,(±)-adrenaline,2015-11-01,PIA,18
Conversion Study From Epoetin Alfa to Monthly Peginesatide Injection in Patients With Chronic Kidney Disease on Dialysis,Epoetin alfa,2011-10-01,DIAMOND,18
