col0,col1,col2,col3,col4,col5
"HHE Report No. HETA-88-030-2109, Neiman Sawmills, Inc., Hulett, Wyoming",noise-induced hearing loss,National Institute for Occupational Safety and Health,1991-04-01,Randy L. Tubbs,"HHE Report No. HETA-88-030-2109, Neiman Sawmills, Inc., Hulett, Wyoming"
"HHE Report No. HETA-89-100-2040, Ministry of Health - St. Lucia, St. Lucia, West Indies",noise-induced hearing loss,National Institute for Occupational Safety and Health,1990-05-01,Randy L. Tubbs,"HHE Report No. HETA-89-100-2040, Ministry of Health - St. Lucia, St. Lucia, West Indies"
"HHE Report No. HETA-93-0608-2423, Unitron Industries, Inc., Port Huron, Michigan",ethyl cyanoacrylate,National Institute for Occupational Safety and Health,1994-05-01,Randy L. Tubbs,"HHE Report No. HETA-93-0608-2423, Unitron Industries, Inc., Port Huron, Michigan"
"HHE Report No. HETA-84-510-1691, Rockwell International, Rocky Flats Plant, Golden, Colorado",beryllium,National Institute for Occupational Safety and Health,1986-05-01,Bobby J. Gunter,"HHE Report No. HETA-84-510-1691, Rockwell International, Rocky Flats Plant, Golden, Colorado"
"HHE Report No. HETA-96-0164-2614, Florida Department of Agriculture and Consumer Services, Division of Plant Industry, Gainesville, Florida",isopropyl alcohol,National Institute for Occupational Safety and Health,1996-11-01,Max J. Kiefer,"HHE Report No. HETA-96-0164-2614, Florida Department of Agriculture and Consumer Services, Division of Plant Industry, Gainesville, Florida"
Three oil field workers died after inhaling carbon monoxide gas in an oil well cellar in California,carbon monoxide,National Institute for Occupational Safety and Health,1997-01-25,California Department of Public Health,Three oil field workers died after inhaling carbon monoxide gas in an oil well cellar in California
In-depth survey report: control technology for crystalline silica exposures in construction-effect of exhaust flow rate upon-res,quartz,National Institute for Occupational Safety and Health,2001-02-01,William A. Heitbrink,"In-depth survey report: control technology for crystalline silica exposures in construction-effect of exhaust flow rate upon-respirable dust emissions for tuck pointing operations-preliminary evaluation-ventilated tool for brick cutting at international masonry institute, Cascade, MD, CT-247-18*"
"Health hazard evaluation report: HETA-2004-0372-3054, evaluation of neurological dysfunction among workers exposed to trichloroethylene, Entek International, Lebanon, Oregon",trichloroethylene,National Institute for Occupational Safety and Health,2008-03-01,Gregory A. Burr,"Health hazard evaluation report: HETA-2004-0372-3054, evaluation of neurological dysfunction among workers exposed to trichloroethylene, Entek International, Lebanon, Oregon"
Workers' exposures to n-propyl bromide at an optical prism and optical assemblies manufacturer,propyl bromide,National Institute for Occupational Safety and Health,2007-02-01,Kevin L. Dunn,Workers' exposures to n-propyl bromide at an optical prism and optical assemblies manufacturer
In-depth survey report: evaluation of engineering controls in a manufacturing facility producing carbon nanotube-based products,carbon,National Institute for Occupational Safety and Health,2012-10-01,Kevin H. Dunn,In-depth survey report: evaluation of engineering controls in a manufacturing facility producing carbon nanotube-based products
"In-depth survey report: control of perchloroethylene (PCE) in vapor degreasing operations, site #4, report no. CT-256-18b",tetrachloroethylene,National Institute for Occupational Safety and Health,2002-09-01,Daniel Almaguer,"In-depth survey report: control of perchloroethylene (PCE) in vapor degreasing operations, site #4, report no. CT-256-18b"
In-depth survey report: a case for using a-weighted equivalent energy as a damage risk criterion,manufacturing,National Institute for Occupational Safety and Health,2012-01-10,William J. Murphy,In-depth survey report: a case for using a-weighted equivalent energy as a damage risk criterion
In-depth survey report: evaluation of enclosed reactor for the production of aligned carbon nanotubes,carbon,National Institute for Occupational Safety and Health,2012-11-01,William A. Heitbrink,In-depth survey report: evaluation of enclosed reactor for the production of aligned carbon nanotubes
"Health hazard evaluation report, HETA-2004-0130-2945, Transportation Security Administration-Palm Beach International Airport, West Palm Beach, Florida",carbon monoxide,National Institute for Occupational Safety and Health,2004-08-01,Randy L. Tubbs,"Health hazard evaluation report, HETA-2004-0130-2945, Transportation Security Administration-Palm Beach International Airport, West Palm Beach, Florida"
