col0,col1,col2,col3,col4
1934 European Aquatics Championships,1938 European Aquatics Championships,Magdeburg,LEN,Europakampfbahn
2000 European Aquatics Championships,2002 European Aquatics Championships,Helsinki,LEN,Mäkelänrinne Swimming Centre
1987 European Aquatics Championships,1989 European Aquatics Championships,Strasbourg,LEN,Schiltigheim Aquatic Center
1977 European Aquatics Championships,1981 European Aquatics Championships,Jönköping,LEN,Rosenlundsbadet
1993 European Aquatics Championships,1995 European Aquatics Championships,Sheffield,LEN,Ponds Forge
2004 European Aquatics Championships,2006 European Aquatics Championships,Madrid,LEN,M86 Swimming Center
1970 European Aquatics Championships,1974 European Aquatics Championships,Barcelona,LEN,Piscines Bernat Picornell
1931 European Aquatics Championships,1934 European Aquatics Championships,Paris,LEN,Piscine des Tourelles
2008 European Aquatics Championships,2010 European Aquatics Championships,Eindhoven,LEN,Pieter van den Hoogenband Swim Stadium
1983 European Aquatics Championships,1985 European Aquatics Championships,Rome,LEN,Stadio Olimpico del Nuoto
2012 European Aquatics Championships,2014 European Aquatics Championships,Debrecen,LEN,Debrecen Swimming Pool Complex
1926 European Aquatics Championships,1927 European Aquatics Championships,Budapest,LEN,Bela Komjadi Stadium
1958 European Aquatics Championships,1962 European Aquatics Championships,Budapest,LEN,Alfréd Hajós National Swimming Stadium
2014 European Aquatics Championships,2016 European Aquatics Championships,Berlin,LEN,Velodrom
2016 European Aquatics Championships,2018 European Aquatics Championships,London,LEN,London Aquatics Centre
1995 European Aquatics Championships,1997 European Aquatics Championships,Vienna,LEN,Ernst-Happel-Stadion
2020 European Aquatics Championships,2022 European Aquatics Championships,Budapest,LEN,Lake Balaton
2010 European Aquatics Championships,2012 European Aquatics Championships,Budapest,LEN,Lake Balaton
2006 European Aquatics Championships,2008 European Aquatics Championships,Budapest,LEN,Lake Balaton
1954 European Aquatics Championships,1958 European Aquatics Championships,Turin,LEN,Monumentale Stadium
