col0,col1,col2,col3
Alliance for Patriotic Reorientation and Construction,Yahya Jammeh,Gambia,Yahya Jammeh
Congress for Democracy and Progress,Blaise Compaoré,Burkina Faso,Blaise Compaoré
Party of National Unity,Mwai Kibaki,Kenya,Mwai Kibaki
People's Movement Party,Traian Băsescu,Romania,Traian Băsescu
New People's Party,Regina Ip,Hong Kong,Regina Ip
More Europe,Emma Bonino,Italy,Emma Bonino
Batkivshchyna,Yulia Tymoshenko,Ukraine,Yulia Tymoshenko
Lega Nord,Umberto Bossi,Italy,Umberto Bossi
Future and Freedom,Gianfranco Fini,Italy,Gianfranco Fini
Movement of New Forces,Mikheil Saakashvili,Ukraine,Mikheil Saakashvili
Liberal Party,Mihai Ghimpu,Moldova,Anatol Șalaru
G17 Plus,Mlađan Dinkić,Serbia,Miroljub Labus
Sierra Leone People's Party,Julius Maada Bio,Sierra Leone,Milton Augustus Strieby Margai
Progress Party,Siv Jensen,Norway,Anders Lange
Nous Citoyens,Jean-Marie Cavada,France,Denis Payre
All India Muslim League,Muhammad Ali Jinnah,British Raj,Syed Ahmed Khan
Indian National Congress,Sonia Gandhi,India,Dadabhai Naoroji
The Other Russia,Eduard Limonov,Russia,Eduard Limonov
National Bolshevik Party,Eduard Limonov,Russia,Eduard Limonov
Feminist Initiative,Gudrun Schyman,Sweden,Gudrun Schyman
