col0,col1,col2,col3,col4
Crispi I Cabinet,1887-07-29,Kingdom of Italy,1889-03-09,Francesco Crispi
Sonnino II Cabinet,1909-12-11,Kingdom of Italy,1910-03-31,Sidney Sonnino
Sonnino I Cabinet,1906-02-08,Kingdom of Italy,1906-05-29,Sidney Sonnino
Bonomi III Cabinet,1944-12-12,Kingdom of Italy,1945-06-21,Ivanoe Bonomi
Bonomi I Cabinet,1921-07-04,Kingdom of Italy,1922-02-26,Ivanoe Bonomi
Bonomi II Cabinet,1944-06-17,Kingdom of Italy,1944-12-12,Ivanoe Bonomi
Orlando Cabinet,1917-10-29,Kingdom of Italy,1919-06-23,Vittorio Emanuele Orlando
Giolitti V Cabinet,1920-06-15,Kingdom of Italy,1921-07-04,Giovanni Giolitti
Giolitti IV Cabinet,1911-03-30,Kingdom of Italy,1914-03-21,Giovanni Giolitti
Giolitti III Cabinet,1906-05-29,Kingdom of Italy,1909-12-11,Giovanni Giolitti
